
LogFile started: 23/09/2016 11:44:13
Application    : DSSAT v4.6
Path/ExeName   : C:\Users\gantunez\Downloads\DSSAT46\Root Directory DSSAT46\DSSAT46.exe
********************************************************************************

Entries:
00001:  [11:44:13] [23/09/2016]Initializing DSSAT Version 4.6.1.0
00002:  [11:44:14] [23/09/2016]C:\DSSAT46\SOIL
00003:  [11:44:14] [23/09/2016]C:\DSSAT46\Weather
00004:  [11:44:15] [23/09/2016]C:\DSSAT46\WEATHER\CLIMATE
00005:  [11:44:16] [23/09/2016]C:\DSSAT46\WEATHER\GEN
00006:  [11:44:16] [23/09/2016]C:\DSSAT46\WEATHER\MONTH
00007:  [11:44:16] [23/09/2016]Start GetProfileData
00008:  [11:44:16] [23/09/2016]End GetProfileData
00009:  [11:44:16] [23/09/2016]C:\DSSAT46\SOIL
00010:  [11:44:16] [23/09/2016]C:\DSSAT46\Weather
00011:  [11:44:20] [23/09/2016]C:\DSSAT46\WEATHER\CLIMATE
00012:  [11:44:21] [23/09/2016]C:\DSSAT46\WEATHER\GEN
00013:  [11:44:21] [23/09/2016]C:\DSSAT46\WEATHER\MONTH
