*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 238     0   5.20  16.10  11.80  1.113  1.113  0.000  1.113  0.000    1.1    0.0    1.1    0.0
 2000 239     1  17.20  16.40   7.10  3.538  1.796  0.000  1.796  0.000    2.9    0.0    2.9    0.0
 2000 240     2  19.20  18.90   3.60  3.959  1.242  0.000  1.242  0.000    4.2    0.0    4.2    0.0
 2000 241     3  17.70  11.30   2.00  3.195  3.195  0.000  3.195  0.000    7.3    0.0    7.3    0.0
 2000 242     4  16.60  17.30   2.40  3.305  3.105  0.000  3.105  0.000   10.5    0.0   10.5    0.0
 2000 243     5  17.00  21.40   3.50  3.628  3.213  0.000  3.213  0.000   13.7    0.0   13.7    0.0
 2000 244     6  13.90  15.10   4.80  2.742  1.446  0.000  1.446  0.000   15.1    0.0   15.1    0.0
 2000 245     7  19.20  14.30  -0.90  3.527  1.111  0.000  1.111  0.000   16.2    0.0   16.2    0.0
 2000 246     8  19.30  15.90  -0.80  3.640  0.937  0.000  0.937  0.000   17.2    0.0   17.2    0.0
 2000 247     9  19.60  16.90   0.40  3.801  0.826  0.000  0.826  0.000   18.0    0.0   18.0    0.0
 2000 248    10  20.10  20.40   3.40  4.226  0.746  0.000  0.746  0.000   18.7    0.0   18.7    0.0
 2000 249    11  19.00  20.40   1.10  3.908  0.687  0.000  0.687  0.000   19.4    0.0   19.4    0.0
 2000 250    12  20.50  21.50   3.40  4.376  0.639  0.000  0.639  0.000   20.1    0.0   20.1    0.0
 2000 251    13  19.60  26.00   9.20  4.670  0.600  0.000  0.600  0.000   20.7    0.0   20.7    0.0
 2000 252    14  19.30  27.00  13.10  4.804  0.568  0.000  0.568  0.000   21.2    0.0   21.2    0.0
 2000 253    15   5.90  22.20  13.90  1.394  1.208  0.000  1.208  0.000   22.4    0.0   22.4    0.0
 2000 254    16  11.40  23.80  15.90  2.791  2.791  0.007  2.784  0.000   25.2    0.0   25.2    0.0
 2000 255    17   8.80  21.90  11.30  2.025  2.025  0.006  2.019  0.000   27.2    0.0   27.2    0.0
 2000 256    18  10.50  14.60   7.60  2.113  1.753  0.011  1.742  0.000   29.0    0.0   29.0    0.0
 2000 257    19   6.10   9.50   6.20  1.118  1.118  0.004  1.115  0.000   30.1    0.0   30.1    0.0
 2000 258    20   6.20  10.70   7.90  1.180  1.180  0.004  1.176  0.000   31.3    0.0   31.3    0.0
 2000 259    21   7.70  14.60   9.10  1.572  1.572  0.005  1.567  0.000   32.9    0.0   32.8    0.0
 2000 260    22  13.50  16.70  10.50  2.877  2.877  0.010  2.867  0.000   35.7    0.0   35.7    0.0
 2000 261    23  14.50  19.40   8.00  3.134  2.048  0.018  2.030  0.000   37.8    0.1   37.7    0.0
 2000 262    24   6.30  18.00  14.60  1.418  1.418  0.005  1.412  0.000   39.2    0.1   39.1    0.0
 2000 263    25  14.80  21.20  14.80  3.476  3.476  0.014  3.462  0.000   42.7    0.1   42.6    0.0
 2000 264    26   9.60  21.40  13.20  2.230  2.230  0.010  2.220  0.000   44.9    0.1   44.8    0.0
 2000 265    27   9.20  17.50  12.60  2.020  2.020  0.009  2.011  0.000   46.9    0.1   46.8    0.0
 2000 266    28  23.10  19.00   8.20  4.974  3.716  0.039  3.677  0.000   50.7    0.1   50.5    0.0
 2000 267    29  15.30  21.30   8.10  3.395  2.091  0.027  2.064  0.000   52.7    0.2   52.6    0.0
 2000 268    30  20.70  12.60   5.70  3.963  2.078  0.033  2.045  0.000   54.8    0.2   54.6    0.0
 2000 269    31  22.80  13.40   2.00  4.252  1.347  0.036  1.311  0.000   56.2    0.2   55.9    0.0
 2000 270    32  21.90  16.20   2.10  4.270  1.083  0.037  1.047  0.000   57.3    0.3   57.0    0.0
 2000 271    33  23.50  24.10   6.40  5.330  0.944  0.046  0.898  0.000   58.2    0.3   57.9    0.0
 2000 272    34  23.30  26.00  10.30  5.595  0.849  0.051  0.798  0.000   59.0    0.4   58.7    0.0
