*EVALUATION : UYSB0405SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 29, 2016; 09:16:38

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM
   1 UYSB0405SN  1  1 SB      69     -99      84     -99     106     -99     155     -99    3181     -99    4743     -99    2120     -99  0.1501     -99    2.20     -99    6262     -99    3080     -99    2.01     -99   0.508     -99   67.07     -99     193     -99     228     -99      11     -99    6.07     -99     362     -99      16     -99   17.33     -99   20.59     -99    0.80     -99     167     -99
   2 UYSB0405SN  1  1 SB      63     -99      76     -99      98     -99     148     -99    2747     -99    4303     -99    1869     -99  0.1470     -99    2.20     -99    5644     -99    2900     -99    1.72     -99   0.487     -99   63.85     -99     169     -99     204     -99      10     -99    6.16     -99     285     -99      12     -99   16.48     -99   20.24     -99    0.77     -99     160     -99
   3 UYSB0405SN  1  1 SB      60     -99      74     -99      92     -99     142     -99    2677     -99    3834     -99    1569     -99  0.1707     -99    2.20     -99    4593     -99    1920     -99    1.43     -99   0.583     -99   69.82     -99     165     -99     186     -99       5     -99    6.18     -99     246     -99      10     -99   16.11     -99   20.46     -99    0.80     -99     154     -99
   4 UYSB0405SN  1  1 SB      72     -99      86     -99     107     -99     156     -99    3561     -99    5342     -99    2269     -99  0.1570     -99    2.20     -99    6955     -99    3390     -99    2.35     -99   0.512     -99   66.66     -99     218     -99     257     -99      12     -99    6.13     -99     544     -99      23     -99   17.68     -99   20.75     -99    0.82     -99     168     -99
   5 UYSB0405SN  1  1 SB      77     -99      91     -99     112     -99     159     -99    3974     -99    5989     -99    2751     -99  0.1445     -99    2.20     -99    7719     -99    3750     -99    2.72     -99   0.515     -99   66.36     -99     245     -99     288     -99      12     -99    6.17     -99     617     -99      26     -99   18.39     -99   20.40     -99    0.83     -99     171     -99
   6 UYSB0405SN  1  1 SB      80     -99      92     -99     114     -99     160     -99    3943     -99    5711     -99    2506     -99  0.1573     -99    2.20     -99    7587     -99    3640     -99    2.77     -99   0.520     -99   69.04     -99     241     -99     279     -99      13     -99    6.11     -99     656     -99      28     -99   18.38     -99   20.76     -99    0.86     -99     172     -99
   7 UYSB0405SN  1  1 SB      68     -99      81     -99     101     -99     149     -99    3742     -99    5424     -99    2260     -99  0.1656     -99    2.20     -99    6557     -99    2820     -99    2.15     -99   0.571     -99   68.99     -99     231     -99     262     -99       7     -99    6.19     -99     444     -99      19     -99   17.33     -99   20.50     -99    0.84     -99     161     -99
   8 UYSB0405SN  1  1 SB      59     -99      72     -99      94     -99     143     -99    2777     -99    4269     -99    1928     -99  0.1441     -99    2.20     -99    5539     -99    2760     -99    1.61     -99   0.501     -99   65.05     -99     170     -99     203     -99       9     -99    6.11     -99     287     -99      13     -99   16.21     -99   20.87     -99    0.77     -99     155     -99
   9 UYSB0405SN  1  1 SB      70     -99      81     -99     101     -99     150     -99    3768     -99    5501     -99    2361     -99  0.1596     -99    2.20     -99    6665     -99    2900     -99    2.22     -99   0.565     -99   68.50     -99     239     -99     271     -99       8     -99    6.33     -99     455     -99      20     -99   17.57     -99   20.43     -99    0.85     -99     162     -99
  10 UYSB0405SN  1  1 SB      78     -99      90     -99     114     -99     160     -99    3312     -99    5115     -99    2327     -99  0.1424     -99    2.20     -99    6592     -99    3280     -99    2.50     -99   0.502     -99   64.76     -99     209     -99     247     -99      11     -99    6.30     -99     446     -99      19     -99   18.03     -99   20.43     -99    0.84     -99     172     -99
  11 UYSB0405SN  1  1 SB      83     -99      97     -99     118     -99     163     -99    4152     -99    6131     -99    2882     -99  0.1441     -99    2.20     -99    8263     -99    4110     -99    3.67     -99   0.502     -99   67.72     -99     267     -99     309     -99      14     -99    6.44     -99    1078     -99      46     -99   19.68     -99   20.47     -99    0.90     -99     175     -99
  12 UYSB0405SN  1  1 SB      71     -99      85     -99     104     -99     153     -99    3593     -99    5452     -99    2378     -99  0.1511     -99    2.20     -99    6963     -99    3370     -99    2.43     -99   0.516     -99   65.90     -99     226     -99     268     -99      12     -99    6.28     -99     548     -99      23     -99   17.86     -99   20.59     -99    0.83     -99     165     -99
  13 UYSB0405SN  1  1 SB      63     -99      74     -99      94     -99     144     -99    3602     -99    5100     -99    2106     -99  0.1710     -99    2.20     -99    6302     -99    2700     -99    1.97     -99   0.572     -99   70.63     -99     223     -99     252     -99       8     -99    6.18     -99     368     -99      16     -99   17.01     -99   20.18     -99    0.82     -99     156     -99
  14 UYSB0405SN  1  1 SB      66     -99      78     -99      97     -99     146     -99    3368     -99    5039     -99    2272     -99  0.1483     -99    2.20     -99    6199     -99    2830     -99    2.08     -99   0.543     -99   66.85     -99     218     -99     251     -99       8     -99    6.47     -99     390     -99      17     -99   17.28     -99   20.55     -99    0.83     -99     158     -99
  15 UYSB0405SN  1  1 SB      61     -99      73     -99      92     -99     141     -99    2957     -99    4318     -99    1856     -99  0.1593     -99    2.20     -99    5165     -99    2210     -99    1.67     -99   0.573     -99   68.48     -99     183     -99     207     -99       5     -99    6.20     -99     277     -99      12     -99   16.46     -99   20.62     -99    0.82     -99     153     -99
