*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2000 241     3     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 242     4     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 243     5     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 244     6     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 245     7     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 246     8     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 247     9     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 248    10     7     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 249    11     8     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 250    12     9     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 251    13    10     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 252    14    11     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2000 253    15    12     0.2     0.0     0.2    0.00    5.15      0.0     0.0     0.2     0.0    5.70    2.64     0.0    1.5    0.0    0.00    0.00
 2000 254    16    13     0.2     0.0     0.2    0.00    5.14      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 2000 255    17    14     0.2     0.0     0.2    0.00    5.14      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 2000 256    18    15     0.2     0.0     0.2    0.00    5.14      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 2000 257    19    16     0.2     0.0     0.2    0.00    5.14      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 2000 258    20    17     0.2     0.0     0.2    0.00    5.14      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 259    21    18     0.2     0.0     0.2    0.00    5.14      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 260    22    19     0.3     0.0     0.3    0.00    5.14      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 261    23    20     0.3     0.0     0.3    0.00    5.12      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 262    24    21     0.3     0.0     0.3    0.00    5.12      0.1     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 263    25    22     0.3     0.0     0.3    0.00    5.09      0.1     0.1     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 264    26    23     0.3     0.0     0.3    0.00    5.07      0.1     0.2     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 2000 265    27    24     0.3     0.0     0.3    0.00    5.05      0.1     0.2     0.3     0.0    5.72    2.66     0.0    1.5    0.0    0.00    0.02
 2000 266    28    25     0.3     0.0     0.3    0.00    5.02      0.1     0.2     0.3     0.0    5.72    2.65     0.0    1.5    0.0    0.00    0.02
 2000 267    29    26     0.4     0.0     0.4    0.00    4.99      0.1     0.2     0.3     0.0    5.72    2.65     0.0    1.5    0.0    0.00    0.03
 2000 268    30    27     0.4     0.0     0.4    0.00    4.97      0.1     0.3     0.3     0.0    5.72    2.65     0.0    1.5    0.0    0.00    0.03
