*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 238     0     0     0     0.0   99.3   16645   76.6   22.7  16.1  15.3  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.5   1.3   1.5   1.4   1.4  1.50  1.46  1.45  0.00  0.00    0.55    1.76    0.00    0.00    0.00
 2000 239     1     0     0     0.0   99.8   16645   77.8   22.0  16.5  15.5  15.3   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.2   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    1.09    3.01    0.00    0.00    0.00
 2000 240     2     0     0     0.0  100.4   16644   78.9   21.5  16.6  15.7  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.61    4.09    0.00    0.00    0.00
 2000 241     3     0     0     0.0  100.9   16644   79.9   21.0   5.8  16.2  19.0   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.1   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    2.13    5.09    0.00    0.00    0.00
 2000 242     4     0     0     0.0  101.4   16643   80.7   20.7   5.9  15.7  19.4   9.0   4.8   0.1   0.2   0.2   0.0   0.0   0.1   1.0   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.61    5.86    0.00    0.00    0.00
 2000 243     5     0     0     0.0  101.8   16643   81.6   20.3   6.0  15.7  19.5   9.1   4.9   0.1   0.3   0.3   0.0   0.0   0.1   0.9   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    3.08    6.74    0.00    0.00    0.00
 2000 244     6     0     0     0.0  102.3   16642   82.4   19.9   6.0  15.8  19.5   9.2   4.9   0.1   0.3   0.3   0.0   0.0   0.1   0.9   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.57    7.62    0.00    0.00    0.00
 2000 245     7     0     0     0.0  102.8   16642   83.3   19.5   6.1  16.0  19.6   9.4   5.0   0.1   0.3   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.2  1.52  1.25  1.18  0.00  0.00    4.05    8.46    0.00    0.00    0.00
 2000 246     8     0     0     0.0  103.3   16642   84.1   19.2   6.2  16.1  19.6   9.5   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.52  1.23  1.14  0.00  0.00    4.50    9.24    0.00    0.00    0.00
 2000 247     9     0     0     0.0  103.7   16641   84.8   18.9   6.4  16.1  19.6   9.6   5.1   0.2   0.4   0.4   0.0   0.0   0.1   0.7   1.3   1.1   1.1  1.53  1.20  1.11  0.00  0.00    4.97   10.03    0.00    0.00    0.00
