*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 2000 238     0  16.9  16.7  16.7  16.9  17.1  17.4  17.6  17.6   0.0   0.0
 2000 239     1  16.4  16.3  16.4  16.6  16.9  17.2  17.5  17.6   0.0   0.0
 2000 240     2  16.3  16.2  16.3  16.5  16.8  17.2  17.4  17.5   0.0   0.0
 2000 241     3  15.0  15.1  15.4  15.8  16.3  16.8  17.2  17.4   0.0   0.0
 2000 242     4  14.4  14.6  15.0  15.5  16.0  16.7  17.1  17.3   0.0   0.0
 2000 243     5  15.1  15.2  15.4  15.9  16.3  16.8  17.2  17.4   0.0   0.0
 2000 244     6  14.8  14.9  15.2  15.7  16.2  16.7  17.1  17.3   0.0   0.0
 2000 245     7  14.0  14.2  14.7  15.3  15.8  16.5  17.0  17.2   0.0   0.0
 2000 246     8  14.6  14.7  15.1  15.6  16.0  16.6  17.1  17.3   0.0   0.0
 2000 247     9  14.6  14.7  15.1  15.6  16.0  16.6  17.1  17.3   0.0   0.0
 2000 248    10  14.6  14.7  15.0  15.5  16.0  16.6  17.1  17.3   0.0   0.0
 2000 249    11  15.4  15.4  15.6  15.9  16.3  16.8  17.2  17.3   0.0   0.0
 2000 250    12  16.7  16.5  16.5  16.6  16.8  17.1  17.4  17.5   0.0   0.0
 2000 251    13  18.5  18.1  17.7  17.5  17.5  17.6  17.6  17.7   0.0   0.0
 2000 252    14  20.5  19.8  19.1  18.5  18.2  18.0  17.9  17.9   0.0   0.0
 2000 253    15  20.9  20.2  19.3  18.7  18.4  18.1  18.0  17.9   0.0   0.0
 2000 254    16  21.7  20.8  19.8  19.1  18.6  18.3  18.1  18.0   0.0   0.0
 2000 255    17  21.7  20.9  19.9  19.1  18.6  18.3  18.1  18.0   0.0   0.0
 2000 256    18  19.8  19.2  18.5  18.1  17.9  17.8  17.8  17.8   0.0   0.0
 2000 257    19  16.7  16.5  16.4  16.5  16.7  17.0  17.3  17.4   0.0   0.0
 2000 258    20  14.7  14.8  15.0  15.4  15.9  16.5  16.9  17.2   0.0   0.0
 2000 259    21  13.0  13.3  13.8  14.5  15.2  16.0  16.6  16.9   0.0   0.0
 2000 260    22  12.2  12.6  13.3  14.1  14.9  15.8  16.5  16.8   0.0   0.0
 2000 261    23  12.9  13.2  13.8  14.4  15.1  15.9  16.6  16.9   0.0   0.0
 2000 262    24  14.4  14.5  14.8  15.2  15.7  16.3  16.8  17.1   0.0   0.0
 2000 263    25  16.3  16.2  16.1  16.2  16.4  16.8  17.1  17.3   0.0   0.0
 2000 264    26  17.6  17.3  17.0  16.8  16.9  17.1  17.3  17.4   0.0   0.0
 2000 265    27  17.9  17.5  17.1  17.0  17.0  17.1  17.3  17.4   0.0   0.0
 2000 266    28  18.0  17.6  17.2  17.0  17.0  17.2  17.4  17.5   0.0   0.0
 2000 267    29  18.4  17.9  17.5  17.2  17.2  17.3  17.4  17.5   0.0   0.0
 2000 268    30  17.0  16.7  16.5  16.5  16.6  16.9  17.2  17.3   0.0   0.0
 2000 269    31  15.6  15.5  15.6  15.8  16.1  16.5  16.9  17.2   0.0   0.0
 2000 270    32  15.2  15.2  15.3  15.6  15.9  16.4  16.9  17.1   0.0   0.0
 2000 271    33  16.0  15.9  15.8  15.9  16.2  16.6  17.0  17.2   0.0   0.0
 2000 272    34  17.0  16.8  16.5  16.5  16.6  16.8  17.1  17.3   0.0   0.0
 2000 273    35  19.4  18.8  18.1  17.7  17.5  17.4  17.5  17.5   0.0   0.0
 2000 274    36  21.6  20.7  19.6  18.8  18.3  18.0  17.8  17.8   0.0   0.0
 2000 275    37  23.3  22.2  20.8  19.6  19.0  18.4  18.1  18.0   0.0   0.0
 2000 276    38  22.6  21.6  20.3  19.3  18.7  18.2  18.0  17.9   0.0   0.0
 2000 277    39  21.5  20.7  19.6  18.7  18.3  17.9  17.8  17.8   0.0   0.0
 2000 278    40  20.2  19.5  18.6  18.0  17.7  17.6  17.6  17.6   0.0   0.0
