*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 2000 238     0   117      0      0      0     0     0   125  0.372  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 2000 239     1   115      0      0      0     0     0   125  0.337  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 2000 240     2   114      0      0      0     0     0   125  0.315  0.392  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 2000 241     3   153      0      0      0     1    43   125  0.507  0.566  0.478  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 2000 242     4   150      0      0      0     1    43   125  0.473  0.533  0.489  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 2000 243     5   147      0      0      0     1    43   125  0.444  0.512  0.490  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 2000 244     6   146      0      0      0     1    43   125  0.441  0.498  0.489  0.343  0.378  0.416  0.408  0.395  0.000  0.000
 2000 245     7   145      0      0      0     1    43   125  0.437  0.489  0.487  0.345  0.378  0.415  0.408  0.395  0.000  0.000
 2000 246     8   144      0      0      0     1    43   125  0.433  0.482  0.485  0.347  0.379  0.415  0.408  0.395  0.000  0.000
 2000 247     9   143      0      0      0     1    43   125  0.429  0.477  0.483  0.349  0.379  0.415  0.408  0.395  0.000  0.000
 2000 248    10   142      0      0      0     1    43   125  0.425  0.472  0.481  0.351  0.379  0.414  0.408  0.395  0.000  0.000
 2000 249    11   141      0      0      0     1    43   125  0.421  0.468  0.478  0.353  0.380  0.414  0.407  0.395  0.000  0.000
 2000 250    12   141      0      0      0     1    43   125  0.418  0.465  0.476  0.355  0.380  0.414  0.407  0.395  0.000  0.000
 2000 251    13   140      0      0      0     1    43   125  0.415  0.462  0.474  0.356  0.381  0.413  0.407  0.395  0.000  0.000
 2000 252    14   140      0      0      0     1    43   125  0.412  0.459  0.472  0.358  0.381  0.413  0.407  0.395  0.000  0.000
 2000 253    15   150      0      0     12     1    43   125  0.552  0.498  0.471  0.359  0.381  0.413  0.407  0.395  0.000  0.000
 2000 254    16   193      0      0     58     1    43   125  0.486  0.576  0.570  0.471  0.427  0.412  0.407  0.395  0.000  0.000
 2000 255    17   189      0      2     58     1    43   125  0.485  0.543  0.559  0.458  0.431  0.419  0.408  0.395  0.000  0.000
 2000 256    18   185      0      4     58     1    43   125  0.490  0.528  0.549  0.450  0.431  0.419  0.408  0.395  0.000  0.000
 2000 257    19   206      0      5     80     1    43   125  0.563  0.565  0.564  0.470  0.460  0.427  0.413  0.397  0.000  0.000
 2000 258    20   215      0      6     92     1    43   125  0.544  0.568  0.568  0.470  0.460  0.445  0.429  0.405  0.000  0.000
 2000 259    21   202      0     17     92     1    43   125  0.513  0.557  0.557  0.457  0.449  0.435  0.420  0.401  0.000  0.000
 2000 260    22   192      0     24     92     1    43   125  0.480  0.539  0.551  0.449  0.442  0.429  0.415  0.399  0.000  0.000
 2000 261    23   187      0     28     92     1    43   125  0.478  0.525  0.544  0.445  0.437  0.425  0.412  0.397  0.000  0.000
 2000 262    24   204      0     29    111     1    43   125  0.557  0.565  0.564  0.469  0.447  0.426  0.415  0.399  0.000  0.000
 2000 263    25   220      1     42    145     1    43   125  0.499  0.568  0.568  0.470  0.460  0.447  0.439  0.432  0.000  0.000
 2000 264    26   221      1     47    153     1    43   125  0.541  0.559  0.568  0.470  0.460  0.445  0.439  0.432  0.000  0.000
 2000 265    27   205      1     61    153     1    43   125  0.502  0.552  0.557  0.457  0.449  0.435  0.427  0.417  0.000  0.000
 2000 266    28   193      1     69    153     1    43   125  0.459  0.534  0.550  0.449  0.442  0.428  0.419  0.408  0.000  0.000
 2000 267    29   191      1     71    155     1    43   125  0.499  0.520  0.542  0.447  0.441  0.427  0.420  0.408  0.000  0.000
 2000 268    30   186      1     75    155     1    43   125  0.470  0.521  0.538  0.443  0.437  0.424  0.415  0.403  0.000  0.000
 2000 269    31   182      1     77    155     1    43   125  0.469  0.515  0.534  0.440  0.435  0.422  0.412  0.400  0.000  0.000
 2000 270    32   180      1     78    155     1    43   125  0.469  0.510  0.531  0.439  0.433  0.422  0.411  0.398  0.000  0.000
 2000 271    33   179      1     78    155     1    43   125  0.469  0.507  0.528  0.438  0.433  0.422  0.411  0.398  0.000  0.000
 2000 272    34   178      1     78    155     1    43   125  0.469  0.504  0.525  0.437  0.433  0.422  0.411  0.398  0.000  0.000
 2000 273    35   178      1     78    155     1    43   125  0.469  0.502  0.523  0.436  0.433  0.422  0.411  0.398  0.000  0.000
 2000 274    36   188      1     78    170     1    43   125  0.489  0.566  0.542  0.436  0.433  0.422  0.411  0.398  0.000  0.000
 2000 275    37   184      1     78    170     1    43   125  0.464  0.537  0.542  0.438  0.433  0.422  0.411  0.398  0.000  0.000
 2000 276    38   212      1     79    201     1    43   125  0.553  0.563  0.566  0.470  0.460  0.441  0.424  0.403  0.000  0.000
 2000 277    39   218      1     81    211     1    43   125  0.520  0.568  0.568  0.470  0.460  0.447  0.438  0.413  0.000  0.000
 2000 278    40   201      1     94    211     1    43   125  0.459  0.548  0.557  0.457  0.449  0.436  0.426  0.406  0.000  0.000
 2000 279    41   190      1    102    211     1    43   125  0.446  0.525  0.548  0.449  0.441  0.429  0.419  0.401  0.000  0.000
 2000 280    42   184      1    106    211     1    43   125  0.453  0.515  0.540  0.445  0.437  0.425  0.414  0.399  0.000  0.000
 2000 281    43   181      1    108    211     1    43   125  0.457  0.510  0.535  0.441  0.435  0.423  0.412  0.397  0.000  0.000
 2000 282    44   182      1    108    217     1    43   125  0.488  0.513  0.530  0.439  0.434  0.422  0.412  0.398  0.000  0.000
 2000 283    45   200      1    109    237     1    43   125  0.548  0.566  0.566  0.457  0.441  0.423  0.413  0.399  0.000  0.000
 2000 284    46   189      1    114    237     1    43   125  0.448  0.556  0.556  0.449  0.437  0.421  0.411  0.397  0.000  0.000
 2000 285    47   184      1    116    237     1    43   125  0.440  0.527  0.548  0.445  0.434  0.421  0.411  0.397  0.000  0.000
 2000 286    48   181      1    117    237     1    43   125  0.450  0.515  0.540  0.442  0.433  0.421  0.411  0.397  0.000  0.000
 2000 287    49   179      1    118    237     1    43   125  0.455  0.509  0.534  0.440  0.433  0.421  0.411  0.397  0.000  0.000
 2000 288    50   178      1    118    237     1    43   125  0.458  0.505  0.530  0.439  0.433  0.421  0.411  0.397  0.000  0.000
 2000 289    51   180      1    118    240     1    43   125  0.504  0.503  0.527  0.438  0.433  0.421  0.411  0.397  0.000  0.000
 2000 290    52   185      1    118    248     1    43   125  0.517  0.551  0.527  0.436  0.433  0.421  0.411  0.397  0.000  0.000
 2000 291    53   182      1    118    248     1    43   125  0.486  0.533  0.532  0.436  0.432  0.421  0.411  0.397  0.000  0.000
 2000 292    54   181      1    118    248     1    43   125  0.482  0.521  0.531  0.435  0.432  0.421  0.411  0.397  0.000  0.000
 2000 293    55   193      1    118    263     1    43   125  0.525  0.563  0.559  0.443  0.434  0.422  0.410  0.397  0.000  0.000
 2000 294    56   189      1    120    263     1    43   125  0.503  0.547  0.552  0.441  0.434  0.422  0.410  0.397  0.000  0.000
 2000 295    57   184      1    121    263     1    43   125  0.464  0.532  0.545  0.440  0.434  0.421  0.410  0.397  0.000  0.000
 2000 296    58   217      1    122    299     1    43   125  0.549  0.564  0.564  0.470  0.460  0.447  0.435  0.408  0.000  0.000
 2000 297    59   213      1    125    300     1    43   125  0.517  0.557  0.559  0.464  0.459  0.441  0.439  0.416  0.000  0.000
 2000 298    60   200      1    136    300     1    43   125  0.503  0.540  0.552  0.454  0.448  0.432  0.427  0.407  0.000  0.000
 2000 299    61   220      1    158    346     1    43   125  0.524  0.562  0.566  0.470  0.460  0.447  0.439  0.432  0.000  0.000
 2000 300    62   221      1    171    362     1    43   125  0.530  0.559  0.567  0.470  0.460  0.447  0.439  0.432  0.000  0.000
