*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1990 187     3     0    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 188     4     1    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 189     5     2    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 190     6     3    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 191     7     4    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 192     8     5    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 193     9     6    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 194    10     7    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 195    11     8    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 196    12     9    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 197    13    10    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 198    14    11    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 199    15    12    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 200    16    13    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 201    17    14    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 202    18    15    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 203    19    16    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 204    20    17    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 205    21    18    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 206    22    19    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 207    23    20    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 208    24    21    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 209    25    22    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 210    26    23    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 211    27    24    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 212    28    25    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 213    29    26    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 214    30    27    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 215    31    28    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 216    32    29    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 217    33    30    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 218    34    31    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1990 219    35    32    1.0      1   0.00     14     14      0     14     28      0    0.0  0.000      0      0  0.000  0.000  0.012  0.000   4.40   0.00   0.00      0      0     23.8   0.00   0.00   0.13   0.28   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
