*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 184     0   117      0      0      0     0     0   125  0.378  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 185     1   116      0      0      0     0     0   125  0.359  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 186     2   115      0      0      0     0     0   125  0.345  0.393  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 187     3   114      0      0      0     0     0   125  0.323  0.391  0.394  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1990 188     4   113      0      0      0     0     0   125  0.310  0.390  0.394  0.337  0.377  0.417  0.408  0.395  0.000  0.000
 1990 189     5   112      0      0      0     0     0   125  0.294  0.389  0.394  0.337  0.378  0.416  0.408  0.395  0.000  0.000
 1990 190     6   114      0      0      3     0     0   125  0.328  0.387  0.394  0.338  0.378  0.416  0.408  0.395  0.000  0.000
 1990 191     7   113      0      0      3     0     0   125  0.310  0.386  0.394  0.338  0.378  0.415  0.408  0.395  0.000  0.000
 1990 192     8   112      0      0      3     0     0   125  0.295  0.385  0.394  0.339  0.378  0.415  0.408  0.395  0.000  0.000
 1990 193     9   111      0      0      3     0     0   125  0.281  0.384  0.394  0.339  0.379  0.415  0.408  0.395  0.000  0.000
 1990 194    10   111      0      0      3     0     0   125  0.269  0.383  0.394  0.340  0.379  0.414  0.408  0.395  0.000  0.000
 1990 195    11   110      0      0      3     0     0   125  0.258  0.382  0.393  0.340  0.379  0.414  0.407  0.395  0.000  0.000
 1990 196    12   109      0      0      3     0     0   125  0.248  0.382  0.393  0.340  0.380  0.414  0.407  0.395  0.000  0.000
 1990 197    13   116      0      0     11     0     0   125  0.383  0.381  0.393  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1990 198    14   114      0      0     11     0     0   125  0.354  0.381  0.393  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1990 199    15   119      0      0     18     0     0   125  0.451  0.381  0.393  0.342  0.380  0.413  0.407  0.395  0.000  0.000
 1990 200    16   117      0      0     18     0     0   125  0.405  0.384  0.393  0.342  0.380  0.412  0.407  0.395  0.000  0.000
 1990 201    17   115      0      0     18     0     0   125  0.365  0.385  0.393  0.343  0.381  0.412  0.407  0.395  0.000  0.000
 1990 202    18   114      0      0     18     0     0   125  0.340  0.384  0.393  0.343  0.381  0.412  0.407  0.395  0.000  0.000
 1990 203    19   113      0      0     18     0     0   125  0.321  0.383  0.393  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 204    20   112      0      0     18     0     0   125  0.305  0.383  0.393  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 205    21   111      0      0     18     0     0   125  0.292  0.382  0.393  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 206    22   111      0      0     18     0     0   125  0.279  0.381  0.393  0.345  0.381  0.411  0.407  0.395  0.000  0.000
 1990 207    23   110      0      0     18     0     0   125  0.268  0.380  0.393  0.345  0.381  0.410  0.406  0.395  0.000  0.000
 1990 208    24   109      0      0     18     0     0   125  0.258  0.379  0.393  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 209    25   109      0      0     18     0     0   125  0.248  0.379  0.393  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 210    26   108      0      0     18     0     0   125  0.239  0.378  0.393  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 211    27   108      0      0     18     0     0   125  0.230  0.377  0.393  0.347  0.382  0.409  0.406  0.395  0.000  0.000
 1990 212    28   107      0      0     18     0     0   125  0.222  0.377  0.393  0.347  0.382  0.409  0.406  0.395  0.000  0.000
 1990 213    29   107      0      0     18     0     0   125  0.221  0.376  0.393  0.347  0.382  0.409  0.406  0.394  0.000  0.000
 1990 214    30   107      0      0     18     0     0   125  0.221  0.375  0.393  0.348  0.382  0.409  0.406  0.394  0.000  0.000
 1990 215    31   107      0      0     18     0     0   125  0.221  0.375  0.393  0.348  0.382  0.408  0.406  0.394  0.000  0.000
 1990 216    32   107      0      0     18     0     0   125  0.221  0.374  0.393  0.348  0.382  0.408  0.406  0.394  0.000  0.000
 1990 217    33   107      0      0     18     0     0   125  0.221  0.374  0.393  0.349  0.382  0.408  0.406  0.394  0.000  0.000
 1990 218    34   106      0      0     18     0     0   125  0.221  0.373  0.393  0.349  0.382  0.408  0.405  0.394  0.000  0.000
 1990 219    35   106      0      0     18     0     0   125  0.221  0.373  0.393  0.349  0.383  0.408  0.405  0.394  0.000  0.000
 1990 220    36   106      0      0     18     0     0   125  0.221  0.372  0.393  0.350  0.383  0.407  0.405  0.394  0.000  0.000
