*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1990 184     0   3.90  14.00   9.80  0.795  0.795  0.000  0.795  0.000    0.8    0.0    0.8    0.0
 1990 185     1   4.70  16.50   9.60  0.991  0.991  0.000  0.991  0.000    1.8    0.0    1.8    0.0
 1990 186     2   3.70  17.40  13.40  0.818  0.818  0.000  0.818  0.000    2.6    0.0    2.6    0.0
 1990 187     3   5.40  19.70  13.20  1.228  1.228  0.000  1.228  0.000    3.8    0.0    3.8    0.0
 1990 188     4   3.80  15.80  11.30  0.806  0.806  0.000  0.806  0.000    4.6    0.0    4.6    0.0
 1990 189     5   4.30  19.60  13.50  0.980  0.941  0.000  0.941  0.000    5.6    0.0    5.6    0.0
 1990 190     6   5.60  17.10  11.30  1.210  1.210  0.000  1.210  0.000    6.8    0.0    6.8    0.0
 1990 191     7   7.60  13.90   6.30  1.495  1.037  0.000  1.037  0.000    7.8    0.0    7.8    0.0
 1990 192     8  13.70  18.20   5.20  2.840  0.891  0.000  0.891  0.000    8.7    0.0    8.7    0.0
 1990 193     9  13.80  17.60   3.90  2.800  0.794  0.000  0.794  0.000    9.5    0.0    9.5    0.0
 1990 194    10  13.40  19.70   6.00  2.858  0.723  0.000  0.723  0.000   10.2    0.0   10.2    0.0
 1990 195    11   9.40  19.20   7.80  2.024  0.668  0.000  0.668  0.000   10.9    0.0   10.9    0.0
 1990 196    12   6.90  20.00  10.10  1.534  0.624  0.000  0.624  0.000   11.5    0.0   11.5    0.0
 1990 197    13   5.50  15.70  10.10  1.152  1.152  0.000  1.152  0.000   12.7    0.0   12.7    0.0
 1990 198    14   8.40  16.00   9.40  1.756  1.456  0.000  1.456  0.000   14.1    0.0   14.1    0.0
 1990 199    15  12.00  11.20   1.60  2.153  2.078  0.000  2.078  0.000   16.2    0.0   16.2    0.0
 1990 200    16  12.30   8.90  -2.00  2.036  2.036  0.000  2.036  0.000   18.2    0.0   18.2    0.0
 1990 201    17  11.70   8.10  -1.20  1.927  1.927  0.000  1.927  0.000   20.2    0.0   20.2    0.0
 1990 202    18   9.40   8.60  -1.00  1.566  1.296  0.000  1.296  0.000   21.5    0.0   21.5    0.0
 1990 203    19  12.50   8.80  -5.60  1.976  1.039  0.000  1.039  0.000   22.5    0.0   22.5    0.0
 1990 204    20  12.50  13.90  -0.70  2.286  0.893  0.000  0.893  0.000   23.4    0.0   23.4    0.0
 1990 205    21  14.00  14.70   2.10  2.671  0.795  0.000  0.795  0.000   24.2    0.0   24.2    0.0
 1990 206    22  14.70   6.50  -1.00  2.358  0.724  0.000  0.724  0.000   24.9    0.0   24.9    0.0
 1990 207    23  11.00  12.00   4.00  2.052  0.669  0.000  0.669  0.000   25.6    0.0   25.6    0.0
 1990 208    24  13.50  16.00   1.70  2.617  0.625  0.000  0.625  0.000   26.2    0.0   26.2    0.0
 1990 209    25  14.90  10.20   1.10  2.615  0.588  0.000  0.588  0.000   26.8    0.0   26.8    0.0
 1990 210    26  14.20  12.70  -1.10  2.535  0.558  0.000  0.558  0.000   27.4    0.0   27.4    0.0
 1990 211    27  12.80  12.80  -1.00  2.292  0.531  0.000  0.531  0.000   27.9    0.0   27.9    0.0
 1990 212    28  13.00  14.90  -1.90  2.385  0.508  0.000  0.508  0.000   28.4    0.0   28.4    0.0
 1990 213    29  13.00  17.50   3.80  2.632  0.124  0.000  0.124  0.000   28.5    0.0   28.5    0.0
 1990 214    30  14.40  19.90   3.70  3.014  0.092  0.000  0.092  0.000   28.6    0.0   28.6    0.0
 1990 215    31  14.80  21.50   5.00  3.206  0.090  0.000  0.090  0.000   28.7    0.0   28.7    0.0
 1990 216    32  14.80  21.90   5.70  3.244  0.088  0.000  0.088  0.000   28.8    0.0   28.8    0.0
 1990 217    33  14.50  25.90  10.20  3.479  0.086  0.000  0.086  0.000   28.9    0.0   28.9    0.0
 1990 218    34  15.60  23.40  13.90  3.741  0.085  0.000  0.085  0.000   29.0    0.0   29.0    0.0
 1990 219    35  15.20  25.90  14.40  3.773  0.083  0.000  0.083  0.000   29.1    0.0   29.1    0.0
 1990 220    36  12.90  25.00  12.80  3.126  0.089  0.007  0.082  0.000   29.1    0.0   29.1    0.0
 1990 221    37  14.70  20.50  10.30  3.293  0.090  0.009  0.081  0.000   29.2    0.0   29.2    0.0
 1990 222    38  15.10  22.30   8.90  3.421  0.548  0.010  0.538  0.000   29.8    0.0   29.8    0.0
 1990 223    39  15.40  28.00  11.90  3.840  0.525  0.011  0.514  0.000   30.3    0.0   30.3    0.0
 1990 224    40  15.30  28.40  12.10  3.838  0.505  0.011  0.493  0.000   30.8    0.0   30.8    0.0
 1990 225    41  14.50  28.00  12.80  3.640  0.487  0.013  0.475  0.000   31.3    0.1   31.2    0.0
 1990 226    42   5.20  25.80  14.90  1.292  0.375  0.013  0.362  0.000   31.7    0.1   31.6    0.0
 1990 227    43   7.50  15.80  10.50  1.576  0.088  0.015  0.073  0.000   31.8    0.1   31.7    0.0
 1990 228    44  14.80  18.90   8.50  3.186  3.186  0.059  3.126  0.000   34.9    0.1   34.8    0.0
 1990 229    45  16.80  21.40   7.70  3.711  3.383  0.091  3.292  0.000   38.3    0.2   38.1    0.0
 1990 230    46  16.20  20.80   6.00  3.491  3.155  0.112  3.043  0.000   41.5    0.4   41.1    0.0
 1990 231    47  12.80  20.80  10.40  2.866  1.550  0.111  1.440  0.000   43.0    0.5   42.6    0.0
 1990 232    48  17.30  21.00  10.30  3.876  1.293  0.185  1.108  0.000   44.3    0.6   43.7    0.0
 1990 233    49  14.80  20.90   6.70  3.202  1.119  0.184  0.935  0.000   45.4    0.8   44.6    0.0
 1990 234    50  13.00  18.40   8.30  2.755  1.004  0.180  0.824  0.000   46.4    1.0   45.4    0.0
 1990 235    51  17.00  15.60   4.40  3.329  0.988  0.242  0.746  0.000   47.4    1.3   46.2    0.0
 1990 236    52  11.20  18.10   3.70  2.260  0.854  0.168  0.686  0.000   48.3    1.4   46.9    0.0
 1990 237    53  13.00  24.60   9.60  3.020  0.865  0.226  0.639  0.000   49.2    1.6   47.5    0.0
 1990 238    54  16.40  25.50  11.70  3.912  0.946  0.347  0.600  0.000   50.1    2.0   48.1    0.0
 1990 239    55   6.80  17.60   5.50  1.379  1.379  0.146  1.233  0.000   51.5    2.1   49.3    0.0
 1990 240    56  18.80   9.70   2.00  3.250  3.250  0.362  2.888  0.000   54.7    2.5   52.2    0.0
 1990 241    57  17.80  14.60  -1.20  3.229  3.229  0.305  2.924  0.000   58.0    2.8   55.2    0.0
 1990 242    58  16.80  21.80   2.90  3.559  2.279  0.170  2.108  0.000   60.2    3.0   57.3    0.0
 1990 243    59   5.50  11.80   5.50  1.031  1.031  0.054  0.977  0.000   61.3    3.0   58.2    0.0
 1990 244    60  10.70  10.20   0.80  1.856  1.194  0.099  1.095  0.000   62.5    3.1   59.3    0.0
 1990 245    61  17.70  11.60  -2.30  3.043  2.764  0.119  2.645  0.000   65.2    3.2   62.0    0.0
