*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 184     0     0     0     0.0   99.3   16646   76.3   22.9  15.9  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.3   1.5   1.4   1.4  1.50  1.47  1.45  0.00  0.00    0.49    1.52    0.00    0.00    0.00
 1990 185     1     0     0     0.0   99.7   16645   77.5   22.2  16.3  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.97    2.73    0.00    0.00    0.00
 1990 186     2     0     0     0.0  100.2   16645   78.6   21.6  16.5  15.6  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.45    3.80    0.00    0.00    0.00
 1990 187     3     0     0     0.0  100.7   16644   79.6   21.1  16.6  15.8  15.5   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.94    4.80    0.00    0.00    0.00
 1990 188     4    24     2     0.0  120.3   16644   80.7   39.6  16.9  15.9  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0  34.4   0.9   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.45    5.78    0.00    0.00    0.42
 1990 189     5    24     2     0.0  123.0   16643   93.4   29.6  38.2  16.1  15.7   9.0   4.9   0.1   0.3   0.3   0.0   0.0  17.1   0.9   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.96   18.43    0.00    0.00    0.70
 1990 190     6    24     2     0.0  124.4   16643  100.6   23.8  49.6  16.2  15.8   9.1   4.9   0.1   0.3   0.3   0.0   0.0   7.4   0.8   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.50   25.60    0.00    0.00    0.85
 1990 191     7    24     2     0.0  125.5   16642  104.3   21.2  54.6  16.4  16.0   9.1   5.0   0.1   0.4   0.4   0.0   0.0   3.4   0.8   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.04   29.22    0.00    0.00    0.93
 1990 192     8    24     2     0.0  126.2   16641  106.3   19.9  56.8  16.5  16.1   9.2   5.0   0.2   0.4   0.4   0.0   0.0   1.6   0.7   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.56   31.23    0.00    0.00    0.99
 1990 193     9    24     2     0.0  126.7   16641  107.6   19.1  57.8  16.6  16.2   9.3   5.1   0.2   0.4   0.5   0.0   0.0   0.8   0.7   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.07   32.55    0.00    0.00    1.03
 1990 194    10    24     2     0.0  127.2   16640  108.6   18.6  58.3  16.7  16.3   9.3   5.1   0.2   0.5   0.5   0.0   0.0   0.4   0.6   1.3   1.0   1.1  1.53  1.17  1.07  0.00  0.00    5.59   33.58    0.00    0.00    1.06
 1990 195    11    24     2     0.0  127.7   16640  109.5   18.2  58.5  16.8  16.4   9.4   5.2   0.2   0.5   0.5   0.0   0.0   0.2   0.6   1.3   1.0   1.0  1.53  1.14  1.04  0.00  0.00    6.10   34.46    0.00    0.00    1.09
 1990 196    12    24     2     0.0  128.2   16639  110.3   17.9  58.7  16.9  16.5   9.4   5.2   0.2   0.5   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.12  1.01  0.00  0.00    6.61   35.26    0.00    0.00    1.13
 1990 197    13    24     2     0.0  128.7   16639  111.1   17.7  58.8  17.0  16.6   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.09  0.98  0.00  0.00    7.15   36.05    0.00    0.00    1.15
 1990 198    14    24     2     0.0  129.3   16638  111.8   17.4  58.8  17.1  16.7   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.2   0.9   1.0  1.54  1.07  0.95  0.00  0.00    7.68   36.80    0.00    0.00    1.16
 1990 199    15    24     2     0.0  129.8   16638  112.6   17.2  58.9  17.2  16.8   9.6   5.4   0.3   0.6   0.7   0.0   0.0   0.1   0.6   1.2   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.21   37.55    0.00    0.00    1.17
 1990 200    16    24     2     0.0  130.3   16637  113.3   17.0  58.2  17.6  16.9   9.6   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.03  0.90  0.00  0.00    8.70   38.24    0.00    0.00    1.17
 1990 201    17    24     2     0.0  130.7   16637  113.9   16.8  58.1  17.8  17.0   9.7   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.01  0.87  0.00  0.00    9.14   38.88    0.00    0.00    1.18
 1990 202    18    24     2     0.0  131.1   16637  114.5   16.6  58.2  17.9  17.1   9.7   5.5   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  0.99  0.85  0.00  0.00    9.53   39.45    0.00    0.00    1.19
 1990 203    19    24     2     0.0  131.4   16636  115.0   16.4  58.2  17.9  17.2   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.97  0.82  0.00  0.00    9.87   39.99    0.00    0.00    1.19
 1990 204    20    24     2     0.0  131.7   16636  115.5   16.2  58.3  18.0  17.3   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.95  0.80  0.00  0.00   10.18   40.48    0.00    0.00    1.19
 1990 205    21    24     2     0.0  132.0   16636  116.0   16.0  58.3  18.0  17.3   9.8   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.94  0.78  0.00  0.00   10.48   40.96    0.00    0.00    1.20
 1990 206    22    24     2     0.0  132.4   16635  116.5   15.9  58.3  18.1  17.4   9.9   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.92  0.76  0.00  0.00   10.81   41.45    0.00    0.00    1.20
 1990 207    23    24     2     0.0  132.7   16635  117.0   15.7  58.4  18.1  17.5   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.74  0.00  0.00   11.14   41.94    0.00    0.00    1.20
 1990 208    24    24     2     0.0  133.1   16635  117.5   15.6  58.4  18.2  17.6   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.89  0.72  0.00  0.00   11.49   42.43    0.00    0.00    1.20
 1990 209    25    24     2     0.0  133.4   16634  118.0   15.4  58.5  18.2  17.6  10.0   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.87   42.94    0.00    0.00    1.20
 1990 210    26    24     2     0.0  133.8   16634  118.5   15.3  58.6  18.3  17.7  10.0   5.7   0.5   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.57  0.86  0.68  0.00  0.00   12.25   43.44    0.00    0.00    1.20
 1990 211    27    24     2     0.0  134.2   16633  119.0   15.2  58.6  18.3  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.84  0.67  0.00  0.00   12.61   43.92    0.00    0.00    1.21
 1990 212    28    24     2     0.0  134.5   16633  119.5   15.1  58.7  18.3  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.83  0.65  0.00  0.00   12.99   44.42    0.00    0.00    1.21
