*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:58:53

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0007 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 184     0     0     0     0.0   99.3   16646   76.3   22.9  15.9  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.3   1.5   1.4   1.4  1.50  1.47  1.45  0.00  0.00    0.49    1.52    0.00    0.00    0.00
 1990 185     1     0     0     0.0   99.7   16645   77.5   22.2  16.3  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.97    2.73    0.00    0.00    0.00
 1990 186     2     0     0     0.0  100.2   16645   78.6   21.6  16.5  15.6  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.45    3.80    0.00    0.00    0.00
 1990 187     3     0     0     0.0  100.7   16644   79.6   21.1  16.6  15.8  15.5   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.94    4.80    0.00    0.00    0.00
 1990 188     4     2     2     0.0  103.2   16644   80.6   22.6  16.7  15.9  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0   3.7   0.9   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.45    5.78    0.00    0.00    0.05
 1990 189     5     2     2     0.0  103.6   16643   82.7   20.9  19.0  16.1  15.7   9.0   4.9   0.1   0.3   0.3   0.0   0.0   1.4   0.9   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.96    7.91    0.00    0.00    0.08
 1990 190     6     2     2     0.0  104.1   16643   84.1   20.0  19.9  16.2  15.8   9.1   4.9   0.1   0.3   0.3   0.0   0.0   0.5   0.8   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.50    9.32    0.00    0.00    0.12
 1990 191     7     2     2     0.0  104.6   16642   85.2   19.4  20.3  16.4  16.0   9.1   5.0   0.1   0.4   0.4   0.0   0.0   0.2   0.8   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.04   10.37    0.00    0.00    0.17
 1990 192     8     2     2     0.0  105.1   16641   86.1   19.1  20.4  16.5  16.1   9.2   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.7   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.56   11.24    0.00    0.00    0.21
 1990 193     9     2     2     0.0  105.6   16641   86.9   18.7  20.4  16.6  16.2   9.3   5.1   0.2   0.4   0.5   0.0   0.0   0.0   0.7   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.07   12.05    0.00    0.00    0.24
 1990 194    10     2     2     0.0  106.1   16640   87.7   18.4  20.5  16.7  16.3   9.3   5.1   0.2   0.5   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.1  1.53  1.17  1.07  0.00  0.00    5.59   12.83    0.00    0.00    0.25
 1990 195    11     2     2     0.0  106.6   16640   88.4   18.2  20.6  16.8  16.4   9.4   5.2   0.2   0.5   0.5   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.53  1.14  1.04  0.00  0.00    6.10   13.61    0.00    0.00    0.27
 1990 196    12     2     2     0.0  107.1   16639   89.2   17.9  20.6  16.9  16.5   9.4   5.2   0.2   0.5   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.12  1.01  0.00  0.00    6.61   14.37    0.00    0.00    0.29
 1990 197    13     2     2     0.0  107.6   16639   90.0   17.7  20.7  17.0  16.6   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.3   1.0   1.0  1.54  1.09  0.98  0.00  0.00    7.15   15.14    0.00    0.00    0.30
 1990 198    14     2     2     0.0  108.1   16638   90.7   17.4  20.8  17.1  16.7   9.5   5.3   0.3   0.6   0.6   0.0   0.0   0.1   0.6   1.2   0.9   1.0  1.54  1.07  0.95  0.00  0.00    7.68   15.89    0.00    0.00    0.30
 1990 199    15     2     2     0.0  108.7   16638   91.5   17.2  20.9  17.2  16.8   9.6   5.4   0.3   0.6   0.7   0.0   0.0   0.1   0.6   1.2   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.21   16.64    0.00    0.00    0.31
 1990 200    16     2     2     0.0  109.2   16637   92.2   17.0  20.7  17.4  16.9   9.6   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.03  0.90  0.00  0.00    8.70   17.33    0.00    0.00    0.31
 1990 201    17     2     2     0.0  109.6   16637   92.8   16.8  20.7  17.5  17.0   9.7   5.4   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  1.01  0.87  0.00  0.00    9.14   17.97    0.00    0.00    0.31
 1990 202    18     2     2     0.0  110.0   16637   93.4   16.6  20.7  17.6  17.1   9.7   5.5   0.3   0.7   0.7   0.0   0.0   0.1   0.5   1.2   0.9   0.9  1.55  0.99  0.85  0.00  0.00    9.53   18.55    0.00    0.00    0.31
 1990 203    19     2     2     0.0  110.3   16636   93.9   16.4  20.8  17.6  17.2   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.97  0.82  0.00  0.00    9.87   19.09    0.00    0.00    0.32
 1990 204    20     2     2     0.0  110.6   16636   94.4   16.2  20.8  17.7  17.3   9.8   5.5   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.9  1.55  0.95  0.80  0.00  0.00   10.18   19.58    0.00    0.00    0.32
 1990 205    21     2     2     0.0  110.9   16636   94.9   16.0  20.9  17.7  17.3   9.8   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.94  0.78  0.00  0.00   10.48   20.06    0.00    0.00    0.32
 1990 206    22     2     2     0.0  111.3   16635   95.4   15.9  20.9  17.7  17.4   9.9   5.6   0.4   0.8   0.8   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.56  0.92  0.76  0.00  0.00   10.81   20.56    0.00    0.00    0.32
 1990 207    23     2     2     0.0  111.6   16635   95.9   15.7  21.0  17.8  17.5   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.5   1.1   0.8   0.8  1.56  0.90  0.74  0.00  0.00   11.14   21.04    0.00    0.00    0.32
 1990 208    24     2     2     0.0  111.9   16635   96.4   15.6  21.0  17.8  17.6   9.9   5.6   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.89  0.72  0.00  0.00   11.49   21.53    0.00    0.00    0.33
 1990 209    25     2     2     0.0  112.3   16634   96.9   15.4  21.1  17.9  17.6  10.0   5.7   0.4   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.56  0.87  0.70  0.00  0.00   11.87   22.04    0.00    0.00    0.33
 1990 210    26     2     2     0.0  112.7   16634   97.4   15.3  21.1  17.9  17.7  10.0   5.7   0.5   0.9   0.9   0.0   0.0   0.1   0.4   1.1   0.8   0.8  1.57  0.86  0.68  0.00  0.00   12.25   22.54    0.00    0.00    0.33
 1990 211    27     2     2     0.0  113.0   16633   97.8   15.2  21.2  18.0  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.84  0.67  0.00  0.00   12.61   23.03    0.00    0.00    0.33
 1990 212    28     2     2     0.0  113.4   16633   98.3   15.1  21.3  18.0  17.8  10.0   5.7   0.5   1.0   1.0   0.0   0.0   0.1   0.4   1.1   0.7   0.8  1.57  0.83  0.65  0.00  0.00   12.99   23.52    0.00    0.00    0.33
