*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:26:37

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0030 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 191     0     0     0     0.0   99.2   16646   76.2   23.0  15.8  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.8   1.4   1.5   1.4   1.5  1.50  1.47  1.46  0.00  0.00    0.45    1.44    0.00    0.00    0.00
 1990 192     1     0     0     0.0   99.7   16645   77.4   22.3  16.2  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.42  0.00  0.00    0.91    2.61    0.00    0.00    0.00
 1990 193     2     0     0     0.0  100.1   16645   78.5   21.7  16.5  15.6  15.3   8.7   4.7   0.1   0.1   0.1   0.0   0.0   0.2   1.1   1.4   1.4   1.4  1.51  1.40  1.37  0.00  0.00    1.39    3.68    0.00    0.00    0.00
 1990 194     3     0     0     0.0  100.6   16644   79.5   21.2  16.6  15.8  15.5   8.8   4.7   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.88    4.67    0.00    0.00    0.00
 1990 195     4     2     2     0.0  103.1   16644   80.5   22.7  16.7  15.9  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0   3.7   0.9   1.4   1.3   1.3  1.51  1.34  1.30  0.00  0.00    2.38    5.64    0.00    0.00    0.04
 1990 196     5     2     2     0.0  103.6   16643   82.7   20.9  11.7  19.9  15.7   9.0   4.9   0.1   0.3   0.3   0.0   0.0   1.2   0.9   1.4   1.2   1.2  1.52  1.31  1.26  0.00  0.00    2.91    7.92    0.00    0.00    0.07
 1990 197     6     2     2     0.0  104.1   16643   84.1   20.0  12.2  20.0  16.0   9.0   4.9   0.1   0.3   0.3   0.0   0.0   0.3   0.8   1.3   1.2   1.2  1.52  1.28  1.22  0.00  0.00    3.46    9.30    0.00    0.00    0.15
 1990 198     7     2     2     0.0  104.6   16642   85.1   19.5  12.4  19.9  16.2   9.1   5.0   0.1   0.3   0.4   0.0   0.0   0.1   0.7   1.3   1.1   1.2  1.52  1.26  1.19  0.00  0.00    3.99   10.25    0.00    0.00    0.18
 1990 199     8     2     2     0.0  105.0   16642   85.9   19.1  12.3  19.9  16.5   9.2   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.7   1.3   1.1   1.1  1.52  1.23  1.15  0.00  0.00    4.50   11.09    0.00    0.00    0.22
 1990 200     9     2     2     0.0  105.5   16641   86.7   18.8  12.3  19.9  16.7   9.2   5.1   0.2   0.4   0.4   0.0   0.0   0.0   0.7   1.3   1.1   1.1  1.53  1.21  1.12  0.00  0.00    4.96   11.84    0.00    0.00    0.25
