*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:47:21

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0042 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1990 184     0    0.0   10.0   11.0    3.9    7.8   0.72   14.0    9.8   11.7   12.6    9.8   11.7   12.6   86.4    330
 1990 185     1    0.0   10.0   11.0    4.7    9.4   0.67   16.5    9.6   12.7   14.1    9.6   12.7   14.1   86.4    330
 1990 186     2    0.0   10.0   11.0    3.7    7.4   0.74   17.4   13.4   15.2   16.0   13.4   15.2   16.0   86.4    330
 1990 187     3    0.0   10.0   11.0    5.4   10.8   0.62   19.7   13.2   16.1   17.2   13.2   16.1   17.2   86.4    330
 1990 188     4    0.0   10.0   11.0    3.8    7.6   0.73   15.8   11.3   13.3   14.1   11.3   13.3   14.1   86.4    330
 1990 189     5    0.0   10.0   11.0    4.3    8.6   0.70   19.6   13.5   16.3   17.3   13.5   16.3   17.3   86.4    330
 1990 190     6    2.8   10.0   11.1    5.6   11.2   0.61   17.1   11.3   13.9   14.9   11.3   13.9   14.9   86.4    330
 1990 191     7    0.0   10.0   11.1    7.6   15.2   0.48   13.9    6.3    9.7   11.0    6.3    9.7   11.0   86.4    330
 1990 192     8    0.0   10.1   11.1   13.7   27.4   0.06   18.2    5.2   11.1   13.3    5.2   11.1   13.3   86.4    330
 1990 193     9    0.0   10.1   11.1   13.8   27.6   0.06   17.6    3.9   10.1   12.4    3.9   10.1   12.4   86.4    330
 1990 194    10    0.0   10.1   11.1   13.4   26.8   0.09   19.7    6.0   12.2   14.5    6.0   12.2   14.5   86.4    330
 1990 195    11    0.0   10.1   11.1    9.4   18.8   0.36   19.2    7.8   13.0   14.9    7.8   13.0   14.9   86.4    330
 1990 196    12    0.0   10.1   11.1    6.9   13.8   0.53   20.0   10.1   14.6   16.3   10.1   14.6   16.3   86.4    330
 1990 197    13    7.8   10.1   11.1    5.5   11.0   0.63   15.7   10.1   12.6   13.6   10.1   12.6   13.6   86.4    330
 1990 198    14    0.0   10.1   11.2    8.4   16.8   0.44   16.0    9.4   12.4   13.5    9.4   12.4   13.5   86.4    330
 1990 199    15    6.9   10.2   11.2   12.0   24.0   0.20   11.2    1.6    6.0    7.6    1.6    6.0    7.6   86.4    330
 1990 200    16    0.0   10.2   11.2   12.3   24.6   0.19    8.9   -2.0    2.9    4.8   -2.0    2.9    4.8   86.4    330
