*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 20, 2016; 15:44:28

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0071 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 191     0   116      0      0      0     0     0   125  0.364  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 192     1   115      0      0      0     0     0   125  0.333  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 193     2   114      0      0      0     0     0   125  0.312  0.392  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 194     3   113      0      0      0     0     0   125  0.295  0.390  0.394  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1990 195     4   112      0      0      0     0     0   125  0.281  0.389  0.394  0.337  0.377  0.417  0.408  0.395  0.000  0.000
 1990 196     5   111      0      0      0     0     0   125  0.268  0.388  0.394  0.337  0.378  0.416  0.408  0.395  0.000  0.000
 1990 197     6   118      0      0      8     0     0   125  0.404  0.387  0.394  0.338  0.378  0.416  0.408  0.395  0.000  0.000
 1990 198     7   116      0      0      8     0     0   125  0.368  0.387  0.394  0.338  0.378  0.415  0.408  0.395  0.000  0.000
 1990 199     8   121      0      0     15     0     0   125  0.464  0.387  0.394  0.339  0.378  0.415  0.408  0.395  0.000  0.000
 1990 200     9   119      0      0     15     0     0   125  0.421  0.391  0.394  0.339  0.379  0.415  0.408  0.395  0.000  0.000
 1990 201    10   117      0      0     15     0     0   125  0.380  0.392  0.394  0.340  0.379  0.414  0.408  0.395  0.000  0.000
 1990 202    11   115      0      0     15     0     0   125  0.350  0.392  0.394  0.340  0.379  0.414  0.407  0.395  0.000  0.000
 1990 203    12   114      0      0     15     0     0   125  0.325  0.391  0.394  0.340  0.380  0.414  0.407  0.395  0.000  0.000
 1990 204    13   113      0      0     15     0     0   125  0.307  0.389  0.394  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1990 205    14   112      0      0     15     0     0   125  0.292  0.388  0.394  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1990 206    15   111      0      0     15     0     0   125  0.278  0.387  0.394  0.342  0.380  0.413  0.407  0.395  0.000  0.000
 1990 207    16   111      0      0     15     0     0   125  0.266  0.386  0.394  0.342  0.380  0.412  0.407  0.395  0.000  0.000
 1990 208    17   110      0      0     15     0     0   125  0.255  0.385  0.394  0.343  0.381  0.412  0.407  0.395  0.000  0.000
 1990 209    18   109      0      0     15     0     0   125  0.245  0.384  0.394  0.343  0.381  0.412  0.407  0.395  0.000  0.000
 1990 210    19   109      0      0     15     0     0   125  0.235  0.383  0.394  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 211    20   108      0      0     15     0     0   125  0.227  0.382  0.394  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 212    21   108      0      0     15     0     0   125  0.221  0.381  0.394  0.344  0.381  0.411  0.407  0.395  0.000  0.000
 1990 213    22   108      0      0     15     0     0   125  0.221  0.380  0.394  0.345  0.381  0.411  0.407  0.395  0.000  0.000
 1990 214    23   108      0      0     15     0     0   125  0.221  0.380  0.394  0.345  0.381  0.410  0.406  0.395  0.000  0.000
 1990 215    24   107      0      0     15     0     0   125  0.221  0.379  0.394  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 216    25   107      0      0     15     0     0   125  0.221  0.378  0.394  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 217    26   107      0      0     15     0     0   125  0.221  0.378  0.394  0.346  0.382  0.410  0.406  0.395  0.000  0.000
 1990 218    27   107      0      0     15     0     0   125  0.221  0.377  0.393  0.347  0.382  0.409  0.406  0.395  0.000  0.000
 1990 219    28   107      0      0     15     0     0   125  0.221  0.376  0.393  0.347  0.382  0.409  0.406  0.395  0.000  0.000
 1990 220    29   107      0      0     15     0     0   125  0.221  0.376  0.393  0.348  0.382  0.409  0.406  0.394  0.000  0.000
 1990 221    30   109      0      0     17     0     0   125  0.261  0.375  0.393  0.348  0.382  0.409  0.406  0.394  0.000  0.000
 1990 222    31   108      0      0     17     0     0   125  0.251  0.374  0.393  0.348  0.382  0.408  0.406  0.394  0.000  0.000
 1990 223    32   108      0      0     17     0     0   125  0.242  0.374  0.393  0.349  0.382  0.408  0.406  0.394  0.000  0.000
 1990 224    33   107      0      0     17     0     0   125  0.234  0.373  0.393  0.349  0.382  0.408  0.406  0.394  0.000  0.000
 1990 225    34   107      0      0     17     0     0   125  0.225  0.373  0.393  0.349  0.382  0.408  0.405  0.394  0.000  0.000
 1990 226    35   106      0      0     17     0     0   125  0.221  0.372  0.393  0.350  0.383  0.408  0.405  0.394  0.000  0.000
 1990 227    36   134      0      0     45     0     0   125  0.568  0.478  0.393  0.350  0.383  0.407  0.405  0.394  0.000  0.000
 1990 228    37   131      0      0     45     0     0   125  0.465  0.493  0.396  0.350  0.383  0.407  0.405  0.394  0.000  0.000
 1990 229    38   128      0      0     45     0     0   125  0.408  0.484  0.399  0.350  0.383  0.407  0.405  0.394  0.000  0.000
 1990 230    39   125      0      0     45     0     0   125  0.364  0.471  0.401  0.351  0.383  0.407  0.405  0.394  0.000  0.000
 1990 231    40   123      0      0     45     0     0   125  0.351  0.460  0.403  0.351  0.383  0.407  0.405  0.394  0.000  0.000
 1990 232    41   122      0      0     45     0     0   125  0.342  0.450  0.404  0.352  0.383  0.406  0.405  0.394  0.000  0.000
 1990 233    42   121      0      0     45     0     0   125  0.334  0.441  0.405  0.352  0.383  0.406  0.405  0.394  0.000  0.000
 1990 234    43   120      0      0     45     0     0   125  0.327  0.434  0.406  0.352  0.383  0.406  0.405  0.394  0.000  0.000
 1990 235    44   119      0      0     45     0     0   125  0.321  0.427  0.406  0.353  0.383  0.406  0.404  0.394  0.000  0.000
 1990 236    45   118      0      0     45     0     0   125  0.314  0.421  0.407  0.353  0.383  0.406  0.404  0.394  0.000  0.000
 1990 237    46   117      0      0     45     0     0   125  0.307  0.416  0.406  0.353  0.383  0.405  0.404  0.394  0.000  0.000
 1990 238    47   116      0      0     45     0     0   125  0.301  0.411  0.406  0.354  0.383  0.405  0.404  0.394  0.000  0.000
 1990 239    48   156      0      0     87     0     0   125  0.548  0.564  0.492  0.354  0.383  0.405  0.404  0.394  0.000  0.000
 1990 240    49   155      0      0     89     0     0   125  0.509  0.551  0.504  0.356  0.383  0.405  0.404  0.393  0.000  0.000
 1990 241    50   152      0      0     89     0     0   125  0.477  0.526  0.507  0.359  0.383  0.405  0.404  0.393  0.000  0.000
 1990 242    51   150      0      0     89     0     0   125  0.462  0.511  0.505  0.362  0.383  0.405  0.404  0.393  0.000  0.000
 1990 243    52   149      0      0     89     0     0   125  0.463  0.501  0.502  0.364  0.383  0.404  0.404  0.393  0.000  0.000
 1990 244    53   151      0      0     92     0     0   125  0.515  0.494  0.499  0.367  0.384  0.404  0.404  0.393  0.000  0.000
 1990 245    54   148      0      0     92     0     0   125  0.452  0.499  0.497  0.369  0.384  0.404  0.404  0.393  0.000  0.000
 1990 246    55   146      0      0     92     0     0   125  0.440  0.491  0.495  0.370  0.384  0.404  0.403  0.393  0.000  0.000
 1990 247    56   145      0      0     92     0     0   125  0.433  0.485  0.493  0.372  0.384  0.404  0.403  0.393  0.000  0.000
 1990 248    57   144      0      0     92     0     0   125  0.428  0.480  0.490  0.374  0.384  0.404  0.403  0.393  0.000  0.000
 1990 249    58   144      0      0     93     0     0   125  0.437  0.475  0.488  0.375  0.384  0.404  0.403  0.393  0.000  0.000
 1990 250    59   151      0      0    101     0     0   125  0.556  0.487  0.486  0.376  0.385  0.403  0.403  0.393  0.000  0.000
 1990 251    60   168      0      0    119     0     0   125  0.517  0.580  0.546  0.380  0.385  0.403  0.403  0.393  0.000  0.000
 1990 252    61   163      0      0    119     0     0   125  0.453  0.553  0.540  0.395  0.385  0.403  0.403  0.393  0.000  0.000
 1990 253    62   161      0      0    119     0     0   125  0.457  0.525  0.536  0.399  0.386  0.403  0.403  0.393  0.000  0.000
 1990 254    63   182      0      0    143     0     0   125  0.545  0.563  0.562  0.454  0.396  0.403  0.403  0.393  0.000  0.000
 1990 255    64   179      0      0    143     0     0   125  0.485  0.552  0.553  0.446  0.417  0.403  0.403  0.392  0.000  0.000
 1990 256    65   177      0      0    143     0     0   125  0.480  0.529  0.546  0.442  0.429  0.403  0.402  0.392  0.000  0.000
 1990 257    66   174      0      0    143     0     0   125  0.456  0.519  0.539  0.440  0.431  0.404  0.402  0.392  0.000  0.000
 1990 258    67   172      0      0    143     0     0   125  0.456  0.510  0.533  0.440  0.430  0.404  0.402  0.392  0.000  0.000
 1990 259    68   170      0      0    143     0     0   125  0.455  0.504  0.528  0.439  0.430  0.404  0.402  0.392  0.000  0.000
 1990 260    69   169      0      0    143     0     0   125  0.455  0.500  0.524  0.438  0.430  0.404  0.402  0.392  0.000  0.000
 1990 261    70   199      0      0    175     0     0   125  0.550  0.564  0.564  0.468  0.460  0.417  0.402  0.392  0.000  0.000
 1990 262    71   192      0      4    175     0     0   125  0.497  0.553  0.554  0.456  0.448  0.419  0.408  0.395  0.000  0.000
 1990 263    72   188      0      7    175     0     0   125  0.508  0.533  0.547  0.449  0.441  0.419  0.408  0.395  0.000  0.000
 1990 264    73   185      0      9    175     0     0   125  0.505  0.527  0.541  0.444  0.437  0.419  0.408  0.395  0.000  0.000
 1990 265    74   180      0      9    175     0     0   125  0.453  0.521  0.535  0.441  0.435  0.419  0.408  0.395  0.000  0.000
 1990 266    75   177      0     10    175     0     0   125  0.454  0.509  0.529  0.439  0.433  0.419  0.408  0.395  0.000  0.000
 1990 267    76   175      0     10    175     0     0   125  0.452  0.500  0.523  0.437  0.433  0.419  0.408  0.395  0.000  0.000
 1990 268    77   173      0     10    175     0     0   125  0.449  0.494  0.517  0.435  0.433  0.419  0.408  0.395  0.000  0.000
 1990 269    78   171      0     10    175     0     0   125  0.446  0.488  0.512  0.433  0.433  0.419  0.408  0.395  0.000  0.000
 1990 270    79   169      0     10    175     0     0   125  0.442  0.482  0.506  0.430  0.433  0.419  0.408  0.395  0.000  0.000
 1990 271    80   168      0     10    175     0     0   125  0.438  0.479  0.504  0.429  0.432  0.419  0.408  0.395  0.000  0.000
 1990 272    81   166      0     10    175     0     0   125  0.435  0.474  0.498  0.427  0.432  0.419  0.408  0.395  0.000  0.000
 1990 273    82   164      0     10    175     0     0   125  0.431  0.468  0.493  0.424  0.431  0.419  0.408  0.395  0.000  0.000
 1990 274    83   161      0     10    175     0     0   125  0.426  0.461  0.486  0.422  0.430  0.419  0.408  0.395  0.000  0.000
 1990 275    84   159      0     10    175     0     0   125  0.421  0.454  0.478  0.418  0.429  0.419  0.408  0.395  0.000  0.000
 1990 276    85   156      0     10    175     0     0   125  0.415  0.447  0.470  0.415  0.428  0.419  0.408  0.395  0.000  0.000
 1990 277    86   153      0     10    175     0     0   125  0.409  0.440  0.464  0.412  0.427  0.419  0.408  0.395  0.000  0.000
 1990 278    87   152      0     10    175     0     0   125  0.404  0.437  0.461  0.411  0.426  0.419  0.408  0.395  0.000  0.000
 1990 279    88   174      0     10    199     0     0   125  0.554  0.564  0.476  0.409  0.425  0.419  0.408  0.395  0.000  0.000
 1990 280    89   177      0     10    204     0     0   125  0.554  0.556  0.506  0.408  0.424  0.419  0.408  0.395  0.000  0.000
 1990 281    90   213      1     11    243     0     0   125  0.548  0.556  0.568  0.469  0.459  0.444  0.425  0.402  0.000  0.000
 1990 282    91   197      1     21    243     0     0   125  0.508  0.545  0.547  0.453  0.447  0.434  0.418  0.399  0.000  0.000
 1990 283    92   188      1     26    243     0     0   125  0.503  0.527  0.534  0.443  0.439  0.428  0.414  0.398  0.000  0.000
 1990 284    93   184      1     28    243     0     0   125  0.505  0.519  0.529  0.438  0.435  0.424  0.412  0.398  0.000  0.000
 1990 285    94   215      1     30    281     0     0   125  0.543  0.557  0.557  0.464  0.458  0.447  0.439  0.410  0.000  0.000
 1990 286    95   198      1     42    281     0     0   125  0.510  0.542  0.541  0.447  0.446  0.436  0.427  0.404  0.000  0.000
 1990 287    96   188      1     47    281     0     0   125  0.505  0.523  0.531  0.437  0.437  0.429  0.419  0.400  0.000  0.000
 1990 288    97   180      1     50    281     0     0   125  0.488  0.512  0.522  0.430  0.431  0.425  0.415  0.398  0.000  0.000
 1990 289    98   174      1     51    281     0     0   125  0.481  0.502  0.513  0.423  0.426  0.422  0.412  0.397  0.000  0.000
 1990 290    99   170      1     51    281     0     0   125  0.474  0.496  0.508  0.419  0.422  0.421  0.410  0.397  0.000  0.000
 1990 291   100   165      1     51    281     0     0   125  0.456  0.487  0.500  0.412  0.416  0.421  0.410  0.397  0.000  0.000
 1990 292   101   169      1     51    289     0     0   125  0.560  0.503  0.494  0.407  0.411  0.420  0.410  0.397  0.000  0.000
 1990 293   102   171      1     51    294     0     0   125  0.528  0.551  0.493  0.403  0.406  0.419  0.410  0.397  0.000  0.000
 1990 294   103   166      1     51    294     0     0   125  0.521  0.526  0.495  0.397  0.400  0.417  0.410  0.397  0.000  0.000
 1990 295   104   160      1     51    294     0     0   125  0.503  0.512  0.490  0.390  0.393  0.415  0.410  0.397  0.000  0.000
 1990 296   105   156      1     51    294     0     0   125  0.491  0.501  0.485  0.385  0.388  0.413  0.410  0.397  0.000  0.000
 1990 297   106   151      1     51    294     0     0   125  0.481  0.491  0.479  0.381  0.384  0.411  0.410  0.397  0.000  0.000
 1990 298   107   148      1     51    294     0     0   125  0.474  0.483  0.475  0.379  0.382  0.409  0.410  0.397  0.000  0.000
 1990 299   108   143      1     51    294     0     0   125  0.460  0.472  0.466  0.375  0.378  0.405  0.410  0.397  0.000  0.000
 1990 300   109   138      1     51    294     0     0   125  0.451  0.463  0.458  0.372  0.375  0.402  0.410  0.397  0.000  0.000
 1990 301   110   136      1     51    294     0     0   125  0.448  0.458  0.455  0.371  0.374  0.400  0.409  0.397  0.000  0.000
 1990 302   111   139      1     51    300     0     0   125  0.546  0.455  0.449  0.369  0.372  0.398  0.409  0.397  0.000  0.000
 1990 303   112   154      1     51    321     0     0   125  0.521  0.571  0.496  0.366  0.369  0.393  0.409  0.397  0.000  0.000
 1990 304   113   148      1     51    321     0     0   125  0.524  0.531  0.497  0.365  0.366  0.389  0.408  0.397  0.000  0.000
 1990 305   114   145      1     51    323     0     0   125  0.546  0.518  0.488  0.364  0.364  0.386  0.408  0.397  0.000  0.000
 1990 306   115   141      1     51    323     0     0   125  0.513  0.513  0.482  0.363  0.362  0.383  0.408  0.397  0.000  0.000
 1990 307   116   138      1     51    323     0     0   125  0.504  0.503  0.477  0.363  0.361  0.382  0.407  0.397  0.000  0.000
 1990 308   117   167      1     51    356     0     0   125  0.554  0.556  0.560  0.427  0.360  0.380  0.406  0.397  0.000  0.000
