*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1987 212     0     0     0     0.0   99.2   16646   76.2   23.0  15.7  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.8   1.4   1.5   1.5   1.5  1.50  1.47  1.46  0.00  0.00    0.42    1.34    0.00    0.00    0.00
 1987 213     1     0     0     0.0   99.6   16645   77.3   22.3  16.1  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.5   1.3   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.83    2.45    0.00    0.00    0.00
 1987 214     2     0     0     0.0  100.0   16645   78.3   21.7  16.4  15.5  15.3   8.7   4.7   0.1   0.1   0.2   0.0   0.0   0.3   1.1   1.4   1.4   1.4  1.51  1.40  1.37  0.00  0.00    1.26    3.47    0.00    0.00    0.00
 1987 215     3     0     0     0.0  100.5   16644   79.3   21.2   5.7  16.0  18.8   8.8   4.7   0.1   0.2   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.71    4.45    0.00    0.00    0.00
 1987 216     4     1     1     0.0  101.9   16644   80.5   21.3   6.7  15.5  19.2   8.9   4.8   0.1   0.2   0.2   0.0   0.0   0.9   1.1   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.19    5.24    0.00    0.00    0.10
 1987 217     5     1     1     0.0  102.3   16643   81.7   20.6   5.3  14.6  20.6   9.1   4.8   0.1   0.3   0.3   0.0   0.0   0.3   1.0   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.66    6.38    0.00    0.00    0.15
 1987 218     6     1     1     0.0  102.7   16643   82.4   20.3   4.3  13.7  21.0   9.7   4.9   0.1   0.3   0.3   0.0   0.0   0.3   1.1   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.14    7.10    0.00    0.00    0.19
 1987 219     7     1     1     0.0  103.1   16642   83.0   20.2   2.8  11.5  19.7  12.6   5.1   0.1   0.3   0.4   0.0   0.0   0.3   1.1   1.4   1.2   1.2  1.52  1.25  1.18  0.00  0.00    3.58    7.66    0.00    0.00    0.23
 1987 220     8     1     1     0.0  103.5   16642   83.5   20.0   2.9  11.3  19.3  12.5   5.7   0.2   0.4   0.4   0.0   0.0   0.1   1.1   1.5   1.2   1.2  1.52  1.23  1.15  0.00  0.00    4.00    8.16    0.00    0.00    0.29
 1987 221     9     1     1     0.0  103.8   16642   83.9   19.9   3.0  11.2  19.1  12.5   6.0   0.2   0.4   0.4   0.0   0.0   0.0   1.2   1.5   1.2   1.1  1.53  1.20  1.11  0.00  0.00    4.41    8.61    0.00    0.00    0.34
 1987 222    10     1     1     0.0  104.3   16641   84.5   19.8   3.2  11.3  19.0  12.5   6.2   0.2   0.4   0.5   0.0   0.0   0.1   1.1   1.6   1.2   1.1  1.53  1.18  1.08  0.00  0.00    4.84    9.20    0.00    0.00    0.34
 1987 223    11     1     1     0.0  104.7   16641   85.1   19.6   3.5  11.3  19.1  12.5   6.3   0.2   0.5   0.5   0.0   0.0   0.1   1.0   1.6   1.2   1.1  1.53  1.15  1.05  0.00  0.00    5.30    9.80    0.01    0.00    0.35
 1987 224    12     1     1     0.0  105.2   16640   85.9   19.3   3.4  11.5  19.2  12.5   6.3   0.2   0.5   0.5   0.0   0.0   0.1   0.9   1.6   1.2   1.0  1.53  1.13  1.02  0.00  0.00    5.79   10.58    0.01    0.00    0.37
 1987 225    13     1     1     0.0  105.7   16640   86.6   19.1   3.3  11.4  19.4  12.6   6.4   0.2   0.6   0.6   0.0   0.0   0.1   1.0   1.5   1.2   1.0  1.54  1.11  0.99  0.00  0.00    6.30   11.29    0.01    0.00    0.38
 1987 226    14     1     1     0.0  106.2   16639   87.2   19.0   2.6  10.6  19.6  13.0   6.7   0.3   0.6   0.6   0.0   0.0   0.1   1.0   1.6   1.1   1.0  1.54  1.08  0.96  0.00  0.00    6.82   11.88    0.01    0.00    0.39
 1987 227    15     1     1     0.0  106.7   16639   87.6   19.1   2.1   9.6  18.8  13.6   7.4   0.4   0.6   0.6   0.0   0.0   0.1   1.1   1.7   1.2   1.0  1.54  1.06  0.93  0.00  0.00    7.35   12.34    0.01    0.00    0.39
 1987 228    16     1     1     0.1  107.1   16638   87.8   19.3   2.2   9.5  18.4  13.3   7.6   0.6   0.7   0.7   0.0   0.0   0.1   1.1   1.7   1.2   1.0  1.56  1.04  0.91  0.00  0.00    7.87   12.66    0.01    0.00    0.39
 1987 229    17     1     1     0.2  107.5   16638   88.0   19.5   2.3   9.3  18.2  13.1   7.7   0.8   0.7   0.7   0.0   0.0   0.1   1.2   1.8   1.2   1.0  1.57  1.04  0.88  0.00  0.00    8.37   12.94    0.05    0.00    0.39
 1987 230    18     1     1     0.2  107.9   16637   88.3   19.5   2.6   9.4  18.0  13.0   7.8   0.8   0.7   0.7   0.0   0.0   0.1   1.1   1.8   1.2   1.0  1.58  1.04  0.87  0.00  0.00    8.82   13.33    0.12    0.00    0.40
