*EVALUATION : UYMZ0136SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 11, 2016; 14:49:51

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1TS   PD1TM   PDFTS   PDFTM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM
   1 UYMZ0136SN  1  1 MZ     111     -99     -99     -99     -99     -99     165     -99    8604     -99     -99     -99    3402     -99  0.2529     -99   486.0     -99   17091     -99    8559     -99    3.49     -99   0.503     -99     -99     -99      87     -99     122     -99      35     -99     1.0     -99    7396     -99      93     -99   21.73     -99
   2 UYMZ0136SN  1  1 MZ     103     -99     -99     -99     -99     -99     162     -99    5841     -99     -99     -99    2217     -99  0.2634     -99   316.7     -99   13769     -99    7995     -99    2.98     -99   0.424     -99     -99     -99      60     -99      94     -99      34     -99     1.0     -99    6437     -99      69     -99   22.22     -99
   3 UYMZ0136SN  1  1 MZ     100     -99     -99     -99     -99     -99     155     -99    5742     -99     -99     -99    2205     -99  0.2604     -99   315.0     -99   14416     -99    8746     -99    3.32     -99   0.398     -99     -99     -99      63     -99     103     -99      40     -99     1.1     -99    6987     -99      79     -99   22.23     -99
   4 UYMZ0136SN  1  1 MZ     109     -99     -99     -99     -99     -99     166     -99    9021     -99     -99     -99    3524     -99  0.2560     -99   503.5     -99   18207     -99    9264     -99    3.80     -99   0.495     -99     -99     -99      95     -99     132     -99      37     -99     1.1     -99    8028     -99     103     -99   21.61     -99
   5 UYMZ0136SN  1  1 MZ     111     -99     -99     -99     -99     -99     162     -99    9198     -99     -99     -99    3722     -99  0.2471     -99   531.7     -99   18350     -99    9230     -99    3.57     -99   0.501     -99     -99     -99      94     -99     131     -99      37     -99     1.0     -99    7867     -99     105     -99   21.67     -99
   6 UYMZ0136SN  1  1 MZ     115     -99     -99     -99     -99     -99     166     -99    7609     -99     -99     -99    3071     -99  0.2477     -99   438.8     -99   15975     -99    8442     -99    3.65     -99   0.476     -99     -99     -99      76     -99     111     -99      35     -99     1.0     -99    7393     -99      83     -99   22.17     -99
   7 UYMZ0136SN  1  1 MZ     105     -99     -99     -99     -99     -99     154     -99    8222     -99     -99     -99    3337     -99  0.2464     -99   476.7     -99   18605     -99   10464     -99    4.14     -99   0.442     -99     -99     -99      93     -99     136     -99      43     -99     1.1     -99    8176     -99     112     -99   21.87     -99
   8 UYMZ0136SN  1  1 MZ     104     -99     -99     -99     -99     -99     155     -99    8803     -99     -99     -99    3619     -99  0.2433     -99   517.0     -99   17835     -99    9109     -99    3.69     -99   0.494     -99     -99     -99      87     -99     123     -99      36     -99     1.0     -99    7902     -99      98     -99   22.35     -99
   9 UYMZ0136SN  1  1 MZ     107     -99     -99     -99     -99     -99     157     -99    9078     -99     -99     -99    3518     -99  0.2581     -99   502.5     -99   18830     -99    9833     -99    4.08     -99   0.482     -99     -99     -99      93     -99     132     -99      39     -99     1.0     -99    8346     -99     108     -99   21.69     -99
  10 UYMZ0136SN  1  1 MZ     109     -99     -99     -99     -99     -99     166     -99    7473     -99     -99     -99    2819     -99  0.2651     -99   402.7     -99   14790     -99    7385     -99    3.07     -99   0.505     -99     -99     -99      71     -99     100     -99      29     -99     1.0     -99    6337     -99      72     -99   21.46     -99
  11 UYMZ0136SN  1  1 MZ     112     -99     -99     -99     -99     -99     160     -99    8557     -99     -99     -99    3523     -99  0.2429     -99   503.2     -99   17559     -99    9081     -99    3.02     -99   0.487     -99     -99     -99      90     -99     127     -99      36     -99     1.1     -99    8005     -99     101     -99   21.81     -99
