*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 220     0   141      0      0      0     0     0   137  0.276  0.334  0.341  0.361  0.365  0.372  0.252  0.336  0.000  0.000
 1990 221     1   140      0      0      2     0     0   137  0.267  0.332  0.341  0.362  0.366  0.372  0.252  0.336  0.000  0.000
 1990 222     2   137      0      0      2     0     0   137  0.215  0.331  0.341  0.362  0.366  0.372  0.252  0.336  0.000  0.000
 1990 223     3   160      0      0      2     1    25   137  0.403  0.434  0.364  0.362  0.367  0.371  0.252  0.336  0.000  0.000
 1990 224     4   157      0      0      2     1    25   137  0.328  0.416  0.376  0.363  0.368  0.371  0.252  0.336  0.000  0.000
 1990 225     5   154      0      0      2     1    25   137  0.295  0.401  0.381  0.364  0.368  0.370  0.252  0.336  0.000  0.000
 1990 226     6   153      0      0      2     1    25   137  0.284  0.392  0.381  0.365  0.369  0.370  0.252  0.336  0.000  0.000
 1990 227     7   180      0      0     30     1    25   137  0.420  0.431  0.444  0.408  0.369  0.369  0.252  0.336  0.000  0.000
 1990 228     8   176      0      0     30     1    25   137  0.348  0.416  0.425  0.427  0.383  0.369  0.252  0.336  0.000  0.000
 1990 229     9   174      0      0     30     1    25   137  0.304  0.404  0.417  0.426  0.398  0.369  0.252  0.336  0.000  0.000
 1990 230    10   171      0      0     30     1    25   137  0.269  0.397  0.412  0.427  0.402  0.369  0.252  0.336  0.000  0.000
 1990 231    11   170      0      0     30     1    25   137  0.256  0.391  0.409  0.427  0.404  0.369  0.252  0.336  0.000  0.000
 1990 232    12   169      0      0     30     1    25   137  0.247  0.386  0.409  0.426  0.405  0.369  0.252  0.336  0.000  0.000
 1990 233    13   168      0      0     30     1    25   137  0.240  0.381  0.408  0.426  0.405  0.369  0.252  0.336  0.000  0.000
 1990 234    14   167      0      0     30     1    25   137  0.234  0.378  0.407  0.426  0.405  0.369  0.252  0.336  0.000  0.000
 1990 235    15   166      0      0     30     1    25   137  0.229  0.374  0.406  0.425  0.406  0.369  0.252  0.336  0.000  0.000
 1990 236    16   166      0      0     30     1    25   137  0.224  0.371  0.404  0.425  0.406  0.369  0.252  0.336  0.000  0.000
 1990 237    17   165      0      0     30     1    25   137  0.220  0.369  0.403  0.425  0.406  0.369  0.252  0.336  0.000  0.000
 1990 238    18   164      0      0     30     1    25   137  0.216  0.367  0.402  0.425  0.406  0.369  0.252  0.336  0.000  0.000
 1990 239    19   200      5      0     72     1    25   137  0.448  0.440  0.443  0.461  0.427  0.375  0.251  0.336  0.000  0.000
 1990 240    20   198      5      0     74     1    25   137  0.374  0.433  0.436  0.458  0.435  0.380  0.255  0.339  0.000  0.000
 1990 241    21   186      5     10     74     1    25   137  0.319  0.414  0.422  0.442  0.424  0.376  0.254  0.339  0.000  0.000
 1990 242    22   179      5     14     74     1    25   137  0.266  0.401  0.415  0.435  0.419  0.375  0.254  0.339  0.000  0.000
 1990 243    23   176      5     15     74     1    25   137  0.261  0.394  0.411  0.431  0.416  0.375  0.254  0.339  0.000  0.000
 1990 244    24   177      5     16     77     1    25   137  0.299  0.388  0.409  0.430  0.416  0.375  0.254  0.339  0.000  0.000
 1990 245    25   175      5     16     77     1    25   137  0.279  0.384  0.408  0.430  0.416  0.375  0.254  0.339  0.000  0.000
 1990 246    26   174      5     16     77     1    25   137  0.267  0.380  0.407  0.430  0.416  0.375  0.254  0.339  0.000  0.000
 1990 247    27   173      5     16     77     1    25   137  0.258  0.377  0.406  0.430  0.416  0.375  0.254  0.339  0.000  0.000
 1990 248    28   172      5     16     77     1    25   137  0.251  0.374  0.405  0.429  0.416  0.375  0.254  0.339  0.000  0.000
 1990 249    29   172      5     16     78     1    25   137  0.263  0.371  0.404  0.429  0.416  0.375  0.254  0.339  0.000  0.000
 1990 250    30   180      5     16     86     1    25   137  0.402  0.374  0.403  0.429  0.416  0.375  0.254  0.339  0.000  0.000
 1990 251    31   196      5     16    104     1    25   137  0.410  0.442  0.438  0.443  0.422  0.376  0.254  0.339  0.000  0.000
