*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 220     0   116      0      0      0     0     0   125  0.347  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 221     1   116      0      0      2     0     0   125  0.357  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 222     2   114      0      0      2     0     0   125  0.329  0.392  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 223     3   153      0      0      2     1    42   125  0.494  0.566  0.479  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1990 224     4   150      0      0      2     1    42   125  0.466  0.529  0.490  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 1990 225     5   147      0      0      2     1    42   125  0.448  0.509  0.490  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 1990 226     6   146      0      0      2     1    42   125  0.445  0.497  0.489  0.343  0.378  0.416  0.408  0.395  0.000  0.000
 1990 227     7   172      0      0     30     1    42   125  0.553  0.560  0.566  0.365  0.378  0.415  0.408  0.395  0.000  0.000
 1990 228     8   169      0      0     30     1    42   125  0.485  0.553  0.552  0.385  0.379  0.415  0.408  0.395  0.000  0.000
 1990 229     9   166      0      0     30     1    42   125  0.470  0.531  0.542  0.396  0.380  0.415  0.408  0.395  0.000  0.000
 1990 230    10   164      0      0     30     1    42   125  0.458  0.521  0.535  0.398  0.381  0.414  0.408  0.395  0.000  0.000
 1990 231    11   163      0      0     30     1    42   125  0.460  0.512  0.529  0.400  0.382  0.414  0.407  0.395  0.000  0.000
 1990 232    12   162      0      0     30     1    42   125  0.461  0.506  0.523  0.402  0.383  0.414  0.407  0.395  0.000  0.000
 1990 233    13   161      0      0     30     1    42   125  0.461  0.502  0.519  0.403  0.384  0.413  0.407  0.395  0.000  0.000
 1990 234    14   160      0      0     30     1    42   125  0.460  0.498  0.515  0.404  0.385  0.413  0.407  0.395  0.000  0.000
 1990 235    15   159      0      0     30     1    42   125  0.459  0.495  0.512  0.404  0.386  0.413  0.407  0.395  0.000  0.000
 1990 236    16   158      0      0     30     1    42   125  0.458  0.492  0.509  0.404  0.387  0.413  0.407  0.395  0.000  0.000
 1990 237    17   158      0      0     30     1    42   125  0.456  0.489  0.506  0.405  0.388  0.412  0.407  0.395  0.000  0.000
 1990 238    18   157      0      0     30     1    42   125  0.455  0.487  0.504  0.405  0.389  0.412  0.407  0.395  0.000  0.000
 1990 239    19   198      0      0     72     1    42   125  0.550  0.566  0.566  0.470  0.442  0.415  0.407  0.395  0.000  0.000
 1990 240    20   196      0      0     74     1    42   125  0.502  0.563  0.562  0.465  0.449  0.421  0.407  0.395  0.000  0.000
 1990 241    21   189      0      4     74     1    42   125  0.472  0.539  0.554  0.454  0.442  0.421  0.408  0.395  0.000  0.000
 1990 242    22   183      0      7     74     1    42   125  0.450  0.524  0.545  0.448  0.437  0.421  0.408  0.395  0.000  0.000
 1990 243    23   181      0      8     74     1    42   125  0.463  0.515  0.539  0.444  0.435  0.421  0.408  0.395  0.000  0.000
 1990 244    24   182      0      8     77     1    42   125  0.509  0.511  0.534  0.441  0.435  0.421  0.410  0.395  0.000  0.000
