*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 19, 2016; 14:33:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0218 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 228     0     0     0     0.0   99.2   16646   76.2   23.0  15.8  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.7   1.4   1.5   1.4   1.5  1.50  1.47  1.46  0.00  0.00    0.45    1.44    0.00    0.00    0.00
 2000 229     1     0     0     0.0   99.7   16645   77.4   22.2  16.2  15.4  15.2   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.4   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    0.91    2.62    0.00    0.00    0.00
 2000 230     2     0     0     0.0  100.2   16645   78.5   21.6  16.5  15.6  15.3   8.7   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.4   1.4  1.51  1.40  1.37  0.00  0.00    1.39    3.69    0.00    0.00    0.00
 2000 231     3     0     0     0.0  100.6   16644   79.5   21.1   5.7  16.1  18.9   8.8   4.7   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.33  0.00  0.00    1.88    4.70    0.00    0.00    0.00
 2000 232     4     0     0     0.0  101.2   16644   80.3   20.8   5.8  15.6  19.3   8.9   4.8   0.1   0.2   0.2   0.0   0.0   0.1   1.1   1.4   1.3   1.3  1.51  1.34  1.29  0.00  0.00    2.40    5.53    0.00    0.00    0.00
 2000 233     5     0     0     0.0  101.7   16643   81.4   20.3   5.7  15.8  19.4   9.1   4.9   0.1   0.3   0.3   0.0   0.0   0.1   1.0   1.4   1.2   1.2  1.52  1.31  1.25  0.00  0.00    2.98    6.59    0.00    0.00    0.00
 2000 234     6     0     0     0.0  102.3   16642   82.4   19.9   4.9  16.0  19.8   9.2   4.9   0.1   0.3   0.3   0.0   0.0   0.2   0.9   1.3   1.2   1.2  1.52  1.28  1.21  0.00  0.00    3.57    7.57    0.00    0.00    0.00
 2000 235     7     0     0     0.0  102.9   16642   83.3   19.7   5.1  15.6  20.1   9.4   5.0   0.1   0.3   0.4   0.0   0.0   0.1   1.0   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.18    8.48    0.00    0.00    0.00
 2000 236     8     0     0     0.0  103.6   16641   84.4   19.2   4.7  15.8  20.3   9.6   5.0   0.2   0.4   0.4   0.0   0.0   0.1   0.8   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.82    9.56    0.00    0.00    0.00
 2000 237     9     0     0     0.0  104.2   16641   85.2   19.0   2.9  12.8  21.1  11.4   5.1   0.2   0.4   0.5   0.0   0.0   0.1   0.9   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.47   10.44    0.00    0.00    0.00
 2000 238    10     0     0     0.0  104.8   16640   85.8   19.0   3.0  12.7  20.5  12.1   5.2   0.2   0.5   0.5   0.0   0.0   0.2   1.0   1.4   1.0   1.1  1.53  1.17  1.07  0.00  0.00    6.08   11.03    0.00    0.00    0.00
 2000 239    11     0     0     0.0  105.4   16639   86.5   18.9   3.1  12.6  20.2  12.5   5.2   0.2   0.5   0.5   0.0   0.0   0.1   1.1   1.5   1.0   1.0  1.53  1.14  1.04  0.00  0.00    6.68   11.70    0.00    0.00    0.00
 2000 240    12     0     0     0.0  106.0   16639   87.3   18.7   3.5  12.7  20.1  12.6   5.3   0.2   0.5   0.6   0.0   0.0   0.1   1.0   1.5   1.0   1.0  1.54  1.12  1.01  0.00  0.00    7.25   12.50    0.00    0.00    0.00
 2000 241    13     0     0     0.0  106.4   16638   88.0   18.4   3.9  12.5  20.2  12.7   5.4   0.3   0.6   0.6   0.0   0.0   0.1   0.9   1.5   0.9   1.0  1.54  1.09  0.98  0.00  0.00    7.78   13.38    0.00    0.00    0.00
 2000 242    14     0     0     0.0  106.8   16638   88.8   18.0   4.3  12.5  20.3  12.7   5.5   0.3   0.6   0.6   0.0   0.0   0.1   0.8   1.5   0.9   1.0  1.54  1.07  0.95  0.00  0.00    8.27   14.17    0.00    0.00    0.00
 2000 243    15     0     0     0.0  107.3   16637   89.5   17.8   4.7  12.5  20.4  12.8   5.5   0.3   0.6   0.7   0.0   0.0   0.1   0.8   1.4   0.9   0.9  1.54  1.05  0.92  0.00  0.00    8.74   14.92    0.00    0.00    0.00
 2000 244    16     0     0     0.0  107.8   16637   90.3   17.5   5.0  12.5  20.5  12.8   5.6   0.3   0.7   0.7   0.0   0.0   0.1   0.7   1.4   0.9   0.9  1.55  1.03  0.90  0.00  0.00    9.22   15.66    0.00    0.00    0.00
 2000 245    17     0     0     0.0  108.3   16636   91.0   17.3   5.3  12.5  20.6  12.8   5.7   0.3   0.7   0.7   0.0   0.0   0.1   0.7   1.4   0.9   0.9  1.55  1.01  0.87  0.00  0.00    9.70   16.38    0.00    0.00    0.00
 2000 246    18     0     0     0.0  108.7   16636   91.7   17.0   5.6  12.5  20.7  12.9   5.7   0.3   0.7   0.7   0.0   0.0   0.1   0.7   1.4   0.8   0.9  1.55  0.99  0.85  0.00  0.00   10.16   17.06    0.00    0.00    0.00
 2000 247    19     0     0     0.0  109.2   16635   92.4   16.8   5.9  12.5  20.8  12.9   5.8   0.3   0.8   0.8   0.0   0.0   0.1   0.6   1.4   0.8   0.9  1.55  0.97  0.82  0.00  0.00   10.63   17.75    0.00    0.00    0.00
