*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1999 232     0    0.0   11.0   11.9   15.8   31.6   0.18   25.8   14.5   19.8   21.9   14.5   19.8   21.9   86.4    330
 1999 233     1    0.0   11.0   11.9   13.6   27.2   0.30   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4    330
 1999 234     2    2.0   11.0   12.0    5.1   10.2   0.74   15.5   12.0   13.6   14.3   12.0   13.6   14.3   86.4    330
 1999 235     3    0.0   11.1   12.0    5.1   10.2   0.74   15.1   11.5   13.2   13.9   11.5   13.2   13.9   86.4    330
 1999 236     4    0.0   11.1   12.0    5.8   11.6   0.71   20.0   13.7   16.6   17.8   13.7   16.6   17.8   86.4    330
 1999 237     5    0.0   11.1   12.1   12.8   25.6   0.36   15.4    5.8   10.3   12.1    5.8   10.3   12.1   86.4    330
 1999 238     6    0.0   11.2   12.1   18.7   37.4   0.08   18.9    5.1   11.6   14.2    5.1   11.6   14.2   86.4    330
 1999 239     7    0.0   11.2   12.1   11.9   23.8   0.42   18.6    2.8   10.2   13.2    2.8   10.2   13.2   86.4    330
 1999 240     8    0.0   11.2   12.1    6.0   12.0   0.71   14.6    3.1    8.5   10.7    3.1    8.5   10.7   86.4    330
 1999 241     9    0.0   11.3   12.2   14.0   28.0   0.33   19.0   11.6   15.1   16.5   11.6   15.1   16.5   86.4    330
 1999 242    10    2.0   11.3   12.2    5.4   10.8   0.74   27.8   14.0   20.5   23.1   14.0   20.5   23.1   86.4    330
 1999 243    11    0.0   11.3   12.2    5.5   11.0   0.74   27.9   15.0   21.1   23.5   15.0   21.1   23.5   86.4    330
 1999 244    12    0.0   11.4   12.3    5.5   11.0   0.74   16.4   13.7   15.0   15.5   13.7   15.0   15.5   86.4    330
 1999 245    13    9.0   11.4   12.3    7.0   14.0   0.67   20.0   14.7   17.2   18.2   14.7   17.2   18.2   86.4    330
 1999 246    14   10.5   11.4   12.3    5.6   11.2   0.74   15.9   12.8   14.3   14.9   12.8   14.3   14.9   86.4    330
 1999 247    15    2.5   11.4   12.4    5.6   11.2   0.74   16.3   13.6   14.9   15.4   13.6   14.9   15.4   86.4    330
 1999 248    16    4.0   11.5   12.4    5.7   11.4   0.74   19.2   14.8   16.9   17.7   14.8   16.9   17.7   86.4    330
 1999 249    17   10.2   11.5   12.4   13.7   27.4   0.38   22.9   16.2   19.4   20.7   16.2   19.4   20.7   86.4    330
 1999 250    18   16.0   11.5   12.5    7.9   15.8   0.65   19.0   12.4   15.5   16.8   12.4   15.5   16.8   86.4    330
 1999 251    19    0.0   11.6   12.5   18.6   37.2   0.17   19.8    7.4   13.3   15.7    7.4   13.3   15.7   86.4    330
 1999 252    20    0.0   11.6   12.5   20.7   41.4   0.09   18.3    5.9   11.8   14.2    5.9   11.8   14.2   86.4    330
 1999 253    21    0.0   11.6   12.6   20.5   41.0   0.10   16.0    4.0    9.7   12.1    4.0    9.7   12.1   86.4    330
 1999 254    22    0.0   11.7   12.6   16.8   33.6   0.27   17.0    4.0   10.2   12.7    4.0   10.2   12.7   86.4    330
 1999 255    23    0.0   11.7   12.6   17.6   35.2   0.24   21.2    5.2   12.8   16.0    5.2   12.8   16.0   86.4    330
 1999 256    24   10.4   11.7   12.6   13.6   27.2   0.42   24.7   12.4   18.2   20.7   12.4   18.2   20.7   86.4    330
 1999 257    25    0.5   11.8   12.7   15.2   30.4   0.35   18.0    9.5   13.5   15.2    9.5   13.5   15.2   86.4    330
 1999 258    26    0.0   11.8   12.7   21.1   42.2   0.11   20.0    5.2   12.2   15.2    5.2   12.2   15.2   86.4    330
 1999 259    27    0.0   11.8   12.7   20.7   41.4   0.13   23.6   10.5   16.7   19.4   10.5   16.7   19.4   86.4    330
