*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1999 232     0  15.80  25.80  14.50  3.920  2.370  0.000  2.370  0.000    2.4    0.0    2.4    0.0
 1999 233     1  13.60  27.70  16.20  3.497  1.374  0.000  1.374  0.000    3.7    0.0    3.7    0.0
 1999 234     2   5.10  15.50  12.00  1.085  1.085  0.000  1.085  0.000    4.8    0.0    4.8    0.0
 1999 235     3   5.10  15.10  11.50  1.074  1.074  0.000  1.074  0.000    5.9    0.0    5.9    0.0
 1999 236     4   5.80  20.00  13.70  1.330  1.051  0.000  1.051  0.000    7.0    0.0    7.0    0.0
 1999 237     5  12.80  15.40   5.80  2.562  0.900  0.000  0.900  0.000    7.9    0.0    7.9    0.0
 1999 238     6  18.70  18.90   5.10  3.911  0.800  0.000  0.800  0.000    8.7    0.0    8.7    0.0
 1999 239     7  11.90  18.60   2.80  2.424  0.728  0.000  0.728  0.000    9.4    0.0    9.4    0.0
 1999 240     8   6.00  14.60   3.10  1.155  0.672  0.000  0.672  0.000   10.1    0.0   10.1    0.0
 1999 241     9  14.00  19.00  11.60  3.112  0.627  0.000  0.627  0.000   10.7    0.0   10.7    0.0
 1999 242    10   5.40  27.80  14.00  1.367  1.225  0.000  1.225  0.000   11.9    0.0   11.9    0.0
 1999 243    11   5.50  27.90  15.00  1.404  0.636  0.000  0.636  0.000   12.5    0.0   12.5    0.0
 1999 244    12   5.50  16.40  13.70  1.203  0.598  0.000  0.598  0.000   13.1    0.0   13.1    0.0
 1999 245    13   7.00  20.00  14.70  1.619  1.099  0.000  1.099  0.000   14.2    0.0   14.2    0.0
 1999 246    14   5.60  15.90  12.80  1.207  1.207  0.000  1.207  0.000   15.4    0.0   15.4    0.0
 1999 247    15   5.60  16.30  13.60  1.221  1.221  0.003  1.218  0.000   16.7    0.0   16.7    0.0
 1999 248    16   5.70  19.20  14.80  1.305  1.305  0.003  1.302  0.000   18.0    0.0   18.0    0.0
 1999 249    17  13.70  22.90  16.20  3.325  3.325  0.010  3.316  0.000   21.3    0.0   21.3    0.0
 1999 250    18   7.90  19.00  12.40  1.767  1.767  0.006  1.761  0.000   23.1    0.0   23.0    0.0
 1999 251    19  18.60  19.80   7.40  4.021  4.021  0.014  4.007  0.000   27.1    0.0   27.0    0.0
 1999 252    20  20.70  18.30   5.90  4.321  2.702  0.026  2.676  0.000   29.8    0.1   29.7    0.0
 1999 253    21  20.50  16.00   4.00  4.063  1.850  0.025  1.825  0.000   31.6    0.1   31.6    0.0
 1999 254    22  16.80  17.00   4.00  3.379  1.273  0.021  1.251  0.000   32.9    0.1   32.8    0.0
 1999 255    23  17.60  21.20   5.20  3.801  1.041  0.025  1.016  0.000   34.0    0.1   33.8    0.0
 1999 256    24  13.60  24.70  12.40  3.271  3.271  0.014  3.257  0.000   37.2    0.1   37.1    0.0
 1999 257    25  15.20  18.00   9.50  3.267  2.418  0.024  2.394  0.000   39.6    0.2   39.5    0.0
 1999 258    26  21.10  20.00   5.20  4.481  2.476  0.034  2.442  0.000   42.1    0.2   41.9    0.0
 1999 259    27  20.70  23.60  10.50  4.832  1.423  0.038  1.385  0.000   43.5    0.2   43.3    0.0
 1999 260    28  20.50  24.50   7.60  4.723  1.122  0.039  1.083  0.000   44.7    0.3   44.4    0.0
 1999 261    29  21.90  29.80  11.70  5.565  0.968  0.048  0.920  0.000   45.6    0.3   45.3    0.0
 1999 262    30  21.60  20.10   9.30  4.767  0.858  0.044  0.814  0.000   46.5    0.4   46.1    0.0
 1999 263    31  20.60  26.00   8.90  4.889  0.788  0.050  0.738  0.000   47.3    0.4   46.9    0.0
 1999 264    32  21.40  23.20   8.90  4.900  0.737  0.057  0.680  0.000   48.0    0.5   47.5    0.0
 1999 265    33  21.40  20.60  10.70  4.811  0.695  0.062  0.634  0.000   48.7    0.5   48.2    0.0
 1999 266    34  22.90  20.90   7.50  5.023  0.666  0.071  0.596  0.000   49.4    0.6   48.8    0.0
 1999 267    35  22.50  23.10   8.10  5.107  0.641  0.077  0.564  0.000   50.0    0.7   49.3    0.0
 1999 268    36   6.60  20.50   8.70  1.455  0.560  0.024  0.537  0.000   50.6    0.7   49.9    0.0
 1999 269    37   7.30  19.60  10.60  1.617  0.541  0.028  0.513  0.000   51.1    0.7   50.4    0.0
 1999 270    38  20.30  20.40  11.50  4.580  0.577  0.084  0.492  0.000   51.7    0.8   50.9    0.0
 1999 271    39   9.10  21.60  11.70  2.088  0.516  0.042  0.474  0.000   52.2    0.9   51.3    0.0
 1999 272    40  22.90  17.60   7.00  4.771  0.564  0.107  0.458  0.000   52.8    1.0   51.8    0.0
 1999 273    41  21.80  22.80   3.20  4.713  2.511  0.111  2.400  0.000   55.3    1.1   54.2    0.0
 1999 274    42   6.90  14.10   8.50  1.386  1.386  0.021  1.365  0.000   56.7    1.1   55.6    0.0
 1999 275    43  20.80  14.90   5.60  4.109  3.819  0.106  3.713  0.000   60.5    1.2   59.3    0.0
 1999 276    44  23.90  12.80   1.70  4.389  3.157  0.117  3.040  0.000   63.6    1.3   62.3    0.0
 1999 277    45  22.10  13.20  -0.50  3.989  1.547  0.108  1.440  0.000   65.2    1.4   63.8    0.0
 1999 278    46   8.90  17.30   4.50  1.801  1.157  0.049  1.108  0.000   66.3    1.5   64.9    0.0
 1999 279    47  12.90  20.20  12.20  2.916  2.916  0.051  2.865  0.000   69.3    1.5   67.7    0.0
 1999 280    48   7.20  16.80  13.40  1.572  1.572  0.030  1.542  0.000   70.8    1.6   69.3    0.0
 1999 281    49  13.30  18.70  12.30  2.949  2.949  0.059  2.890  0.000   73.8    1.6   72.2    0.0
 1999 282    50  15.20  18.30   8.40  3.235  3.235  0.091  3.143  0.000   77.0    1.7   75.3    0.0
 1999 283    51  23.00  21.30   8.70  5.110  3.654  0.187  3.467  0.000   80.7    1.9   78.8    0.0
 1999 284    52  24.00  23.80   9.60  5.549  2.459  0.219  2.240  0.000   83.1    2.1   81.0    0.0
 1999 285    53   7.40  19.00  12.70  1.650  1.650  0.044  1.606  0.000   84.8    2.2   82.6    0.0
 1999 286    54   7.40  18.00  15.40  1.667  1.667  0.048  1.619  0.000   86.5    2.2   84.2    0.0
 1999 287    55   7.50  15.40  12.20  1.584  1.584  0.049  1.535  0.000   88.0    2.3   85.8    0.0
