*EVALUATION : UYSB0398SN late to create DSS                                           DSSAT Cropping System Model Ver. 4.0.2.000     Aug 23, 2016; 20:22:29

@RUN EXCODE     TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM
   1 UYSB0398SN  1  1 SB      71     -99      85     -99     106     -99     155     -99    3416     -99    5097     -99    2258     -99  0.1513     -99    2.20     -99    6834     -99    3420     -99    2.29     -99   0.500     -99   67.01     -99     210     -99     250     -99      13     -99    6.16     -99     461     -99      20     -99   17.34     -99   20.97     -99    0.80     -99     167     -99
   2 UYSB0398SN  1  1 SB      72     -99      86     -99     109     -99     158     -99    3131     -99    4683     -99    2080     -99  0.1506     -99    2.20     -99    6371     -99    3240     -99    2.11     -99   0.491     -99   66.87     -99     195     -99     232     -99      12     -99    6.24     -99     380     -99      16     -99   17.32     -99   20.21     -99    0.79     -99     170     -99
   3 UYSB0398SN  1  1 SB      65     -99      78     -99      98     -99     150     -99    2593     -99    4050     -99    1713     -99  0.1513     -99    2.20     -99    5437     -99    2840     -99    1.69     -99   0.477     -99   64.03     -99     157     -99     194     -99      11     -99    6.04     -99     277     -99      12     -99   16.20     -99   20.36     -99    0.76     -99     162     -99
   4 UYSB0398SN  1  1 SB      64     -99      78     -99      96     -99     147     -99    2706     -99    3838     -99    1531     -99  0.1768     -99    2.20     -99    4703     -99    2000     -99    1.48     -99   0.575     -99   70.51     -99     167     -99     189     -99       6     -99    6.18     -99     278     -99      11     -99   16.20     -99   20.42     -99    0.80     -99     159     -99
   5 UYSB0398SN  1  1 SB      76     -99      89     -99     110     -99     159     -99    3348     -99    5057     -99    2120     -99  0.1579     -99    2.20     -99    6649     -99    3300     -99    2.27     -99   0.504     -99   66.20     -99     207     -99     245     -99      12     -99    6.18     -99     563     -99      24     -99   17.51     -99   20.59     -99    0.81     -99     171     -99
   6 UYSB0398SN  1  1 SB      80     -99      94     -99     114     -99     163     -99    3937     -99    5897     -99    2629     -99  0.1497     -99    2.20     -99    7683     -99    3750     -99    2.70     -99   0.512     -99   66.76     -99     243     -99     287     -99      13     -99    6.17     -99     648     -99      28     -99   18.13     -99   20.42     -99    0.81     -99     175     -99
   7 UYSB0398SN  1  1 SB      84     -99      95     -99     118     -99     164     -99    3852     -99    5620     -99    2466     -99  0.1562     -99    2.20     -99    7576     -99    3720     -99    2.81     -99   0.508     -99   68.54     -99     242     -99     282     -99      14     -99    6.28     -99     698     -99      30     -99   18.40     -99   20.47     -99    0.84     -99     176     -99
   8 UYSB0398SN  1  1 SB      70     -99      83     -99     103     -99     152     -99    3700     -99    5282     -99    2201     -99  0.1681     -99    2.20     -99    6621     -99    2920     -99    2.15     -99   0.559     -99   70.05     -99     233     -99     265     -99       9     -99    6.30     -99     487     -99      21     -99   17.30     -99   20.31     -99    0.83     -99     164     -99
   9 UYSB0398SN  1  1 SB      62     -99      74     -99      96     -99     145     -99    2540     -99    3853     -99    1685     -99  0.1508     -99    2.20     -99    4977     -99    2440     -99    1.39     -99   0.510     -99   65.93     -99     159     -99     189     -99       8     -99    6.25     -99     270     -99      12     -99   15.82     -99   20.66     -99    0.76     -99     157     -99
  10 UYSB0398SN  1  1 SB      74     -99      84     -99     105     -99     154     -99    3582     -99    5234     -99    2241     -99  0.1598     -99    2.20     -99    6541     -99    2960     -99    2.15     -99   0.548     -99   68.44     -99     225     -99     258     -99       9     -99    6.27     -99     436     -99      19     -99   17.47     -99   20.53     -99    0.85     -99     166     -99
  11 UYSB0398SN  1  1 SB      80     -99      92     -99     116     -99     163     -99    3122     -99    4769     -99    2090     -99  0.1494     -99    2.20     -99    6111     -99    2990     -99    2.20     -99   0.511     -99   65.46     -99     198     -99     233     -99      10     -99    6.35     -99     428     -99      18     -99   17.55     -99   20.28     -99    0.82     -99     175     -99
  12 UYSB0398SN  1  1 SB      85     -99      98     -99     120     -99     166     -99    4058     -99    5978     -99    2782     -99  0.1459     -99    2.20     -99    8185     -99    4130     -99    3.55     -99   0.496     -99   67.89     -99     259     -99     300     -99      15     -99    6.37     -99    1126     -99      47     -99   19.31     -99   20.65     -99    0.87     -99     178     -99
  13 UYSB0398SN  1  1 SB      76     -99      90     -99     110     -99     159     -99    3650     -99    5467     -99    2325     -99  0.1570     -99    2.20     -99    7098     -99    3450     -99    2.56     -99   0.514     -99   66.76     -99     229     -99     271     -99      12     -99    6.29     -99     550     -99      23     -99   17.80     -99   20.55     -99    0.83     -99     171     -99
  14 UYSB0398SN  1  1 SB      66     -99      77     -99      96     -99     146     -99    3556     -99    4993     -99    2015     -99  0.1765     -99    2.20     -99    6134     -99    2580     -99    1.93     -99   0.580     -99   71.22     -99     219     -99     248     -99       8     -99    6.17     -99     443     -99      19     -99   16.83     -99   20.22     -99    0.81     -99     158     -99
  15 UYSB0398SN  1  1 SB      71     -99      83     -99     102     -99     151     -99    3339     -99    4973     -99    2222     -99  0.1503     -99    2.20     -99    6288     -99    2950     -99    2.17     -99   0.531     -99   67.14     -99     215     -99     250     -99      10     -99    6.45     -99     417     -99      18     -99   17.34     -99   20.60     -99    0.83     -99     163     -99
