*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1999 235     3     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 236     4     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 237     5     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 238     6     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 239     7     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 240     8     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 241     9     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 242    10     7     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 243    11     8     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 244    12     9     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1999 245    13    10     0.2     0.0     0.2    0.00    5.15      0.0     0.0     0.2     0.0    5.70    2.64     0.0    1.5    0.0    0.00    0.00
 1999 246    14    11     0.2     0.0     0.2    0.00    5.16      0.0     0.0     0.2     0.0    5.70    2.64     0.0    1.5    0.0    0.00    0.01
 1999 247    15    12     0.2     0.0     0.2    0.00    5.17      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1999 248    16    13     0.2     0.0     0.2    0.00    5.18      0.0     0.0     0.2     0.0    5.70    2.65     0.0    1.5    0.0    0.00    0.01
 1999 249    17    14     0.2     0.0     0.2    0.00    5.15      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.01
 1999 250    18    15     0.2     0.0     0.2    0.00    5.14      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 251    19    16     0.3     0.0     0.3    0.00    5.12      0.0     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 252    20    17     0.3     0.0     0.3    0.00    5.09      0.1     0.1     0.2     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 253    21    18     0.3     0.0     0.3    0.00    5.07      0.1     0.1     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 254    22    19     0.3     0.0     0.3    0.00    5.05      0.1     0.2     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 255    23    20     0.3     0.0     0.3    0.00    5.02      0.1     0.2     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 256    24    21     0.3     0.0     0.3    0.00    4.99      0.1     0.2     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 257    25    22     0.3     0.0     0.3    0.00    4.97      0.1     0.2     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 258    26    23     0.4     0.0     0.4    0.00    4.94      0.1     0.3     0.3     0.0    5.71    2.65     0.0    1.5    0.0    0.00    0.02
 1999 259    27    24     0.4     0.0     0.4    0.00    4.90      0.1     0.3     0.3     0.1    5.72    2.65     0.0    1.5    0.0    0.00    0.02
 1999 260    28    25     0.4     0.0     0.4    0.00    4.85      0.1     0.3     0.3     0.1    5.72    2.65     0.0    1.5    0.0    0.00    0.02
 1999 261    29    26     0.5     0.0     0.5    0.00    4.88      0.1     0.4     0.4     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.02
 1999 262    30    27     0.5     0.0     0.5    0.00    4.92      0.1     0.5     0.4     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 263    31    28     0.6     0.0     0.6    0.00    4.92      0.1     0.5     0.5     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 264    32    29     0.6     0.0     0.6    0.00    4.92      0.1     0.6     0.5     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 265    33    30     0.7     0.0     0.7    0.00    4.92      0.1     0.7     0.6     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 266    34    31     0.8     0.0     0.8    0.00    4.91      0.1     0.8     0.6     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 267    35    32     0.8     0.0     0.8    0.00    4.88      0.1     0.9     0.7     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 268    36    33     0.8     0.0     0.8    0.00    4.88      0.1     0.9     0.7     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.03
 1999 269    37    34     0.9     0.0     0.9    0.00    4.90      0.1     1.0     0.8     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 1999 270    38    35     1.0     0.0     1.0    0.00    4.90      0.1     1.1     0.8     0.1    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 1999 271    39    36     1.1     0.0     1.1    0.00    4.90      0.1     1.2     0.9     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 1999 272    40    37     1.1     0.0     1.1    0.00    4.89      0.1     1.3     1.0     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 1999 273    41    38     1.2     0.0     1.2    0.00    4.85      0.1     1.4     1.0     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.04
 1999 274    42    39     1.3     0.0     1.3    0.00    4.86      0.1     1.4     1.1     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 1999 275    43    40     1.3     0.0     1.3    0.00    4.84      0.1     1.5     1.1     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 1999 276    44    41     1.4     0.0     1.4    0.00    4.83      0.1     1.6     1.2     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 1999 277    45    42     1.4     0.0     1.4    0.00    4.81      0.1     1.7     1.2     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 1999 278    46    43     1.5     0.0     1.5    0.00    4.81      0.1     1.7     1.2     0.2    5.72    2.66     0.0    1.5    0.0    0.00    0.05
 1999 279    47    44     1.6     0.0     1.6    0.00    4.78      0.1     1.8     1.3     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 1999 280    48    45     1.7     0.0     1.7    0.00    4.79      0.1     1.9     1.4     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 1999 281    49    46     1.8     0.0     1.8    0.00    4.79      0.1     2.1     1.5     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.06
 1999 282    50    47     1.9     0.0     1.9    0.00    4.79      0.1     2.2     1.6     0.3    5.72    2.66     0.0    1.5    0.0    0.00    0.07
 1999 283    51    48     2.1     0.0     2.1    0.00    4.76      0.1     2.4     1.7     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.07
 1999 284    52    49     2.3     0.0     2.3    0.00    4.71      0.1     2.7     1.9     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.07
 1999 285    53    50     2.4     0.0     2.4    0.00    4.70      0.1     2.8     1.9     0.4    5.72    2.66     0.0    1.5    0.0    0.00    0.08
 1999 286    54    51     2.5     0.0     2.5    0.00    4.69      0.1     2.9     2.0     0.5    5.72    2.66     0.0    1.5    0.0    0.00    0.08
 1999 287    55    52     2.6     0.0     2.6    0.00    4.69      0.1     3.1     2.1     0.5    5.72    2.66     0.0    1.5    0.0    0.00    0.09
 1999 288    56    53     2.8     0.0     2.8    0.00    4.65      0.1     3.3     2.2     0.6    5.72    2.66     0.0    1.5    0.0    0.00    0.09
 1999 289    57    54     3.0     0.0     3.0    0.00    4.60      0.1     3.6     2.4     0.6    5.72    2.66     0.0    1.5    0.0    0.00    0.09
 1999 290    58    55     3.4     0.0     3.4    0.00    4.53      0.1     4.1     2.6     0.8    5.72    2.66     0.0    1.5    0.0    0.00    0.10
 1999 291    59    56     3.8     0.0     3.8    0.00    4.45      0.2     4.6     2.8     0.9    5.73    2.66     0.0    1.5    0.0    0.00    0.10
 1999 292    60    57     4.2     0.0     4.2    0.00    4.37      0.2     5.1     3.1     1.1    5.73    2.66     0.0    1.5    0.0    0.00    0.11
 1999 293    61    58     4.6     0.0     4.6    0.00    4.29      0.2     5.7     3.3     1.3    5.73    2.66     0.0    1.5    0.0    0.00    0.11
 1999 294    62    59     5.2     0.0     5.2    0.00    4.31      0.2     6.3     3.7     1.5    5.73    2.66     0.0    1.5    0.0    0.00    0.12
 1999 295    63    60     5.8     0.0     5.8    0.00    4.32      0.2     7.0     4.1     1.6    5.72    2.66     0.0    1.5    0.0    0.00    0.13
 1999 296    64    61     6.3     0.0     6.3    0.00    4.33      0.2     7.6     4.6     1.8    5.72    2.66     0.0    1.5    0.0    0.00    0.13
 1999 297    65    62     6.9     0.0     6.9    0.00    4.33      0.3     8.3     5.0     1.9    5.72    2.66     0.0    1.5    0.0    0.00    0.14
 1999 298    66    63     7.6     0.0     7.6    0.00    4.34      0.3     9.1     5.5     2.1    5.72    2.66     0.0    1.5    0.0    0.00    0.15
 1999 299    67    64     8.7     0.0     8.7    0.00    4.34      0.3    10.4     6.3     2.4    5.72    2.66     0.0    1.5    0.0    0.00    0.16
 1999 300    68    65     9.9     0.0     9.9    0.00    4.34      0.3    11.8     7.2     2.8    5.72    2.66     0.0    1.5    0.0    0.00    0.17
 1999 301    69    66    11.2     0.0    11.2    0.00    4.33      0.3    13.3     8.1     3.1    5.72    2.66     0.0    1.5    0.0    0.00    0.18
 1999 302    70    67    12.8     0.0    12.8    0.00    4.33      0.4    15.1     9.2     3.6    5.72    2.66     0.0    1.5    0.0    0.00    0.20
 1999 303    71    68    14.1     0.0    14.1    0.00    4.32      0.4    16.6    10.1     4.0    5.72    2.66     0.0    1.5    0.0    0.00    0.21
 1999 304    72    69    16.0     0.0    16.0    0.00    4.31      0.4    18.8    11.4     4.6    5.72    2.66     0.0    1.5    0.0    0.00    0.23
 1999 305    73    70    17.3     0.0    17.3    0.00    4.31      0.5    20.2    12.3     4.9    5.72    2.66     0.0    1.5    0.0    0.00    0.24
 1999 306    74    71    19.7     0.0    19.7    0.00    4.29      0.5    23.1    14.0     5.7    5.72    2.66     0.0    1.5    0.0    0.00    0.26
 1999 307    75    72    22.2     0.0    22.2    0.00    4.26      0.6    26.0    15.7     6.6    5.72    2.65     0.0    1.5    0.0    0.00    0.28
 1999 308    76    73    23.1     0.0    23.1    0.00    4.26      0.6    27.1    16.3     6.9    5.71    2.65     0.0    1.5    0.0    0.00    0.30
 1999 309    77    74    25.8     0.0    25.8    0.00    4.23      0.6    30.1    18.1     7.7    5.70    2.64     0.0    1.5    0.0    0.00    0.31
 1999 310    78    75    29.2     0.0    29.2    0.00    4.20      0.7    34.1    20.3     8.9    5.70    2.63     0.0    1.5    0.0    0.01    0.34
 1999 311    79    76    31.2     0.0    31.2    0.00    4.20      0.7    36.6    21.6     9.6    5.71    2.62     0.0    1.5    0.0    0.03    0.36
 1999 312    80    77    33.6     0.0    33.6    0.00    4.19      0.8    39.4    23.2    10.4    5.71    2.62     0.0    1.5    0.0    0.05    0.37
